Time,Iteration,Cost,Parameters
Sat Aug 24 18:56:50 2024,28,0.3865851543938805,[-2.80684473  2.27226748 -2.13572613 -0.14694209  0.53878076 -2.77570889
  3.04880237  2.17281013  1.18103821 -1.09941711]
Sat Aug 24 18:58:31 2024,29,0.3862024471250046,[-2.80206032  2.26748307 -2.13094173 -0.15172649  0.54356517 -2.77092448
  3.04401797  2.16802573  1.1762538  -1.09463271]
Sat Aug 24 19:00:13 2024,30,0.3819592140946046,[-2.79894229  2.27060111 -2.13405976 -0.14860846  0.54044714 -2.76780645
  3.047136    2.16490769  1.17313577 -1.09775074]
Sat Aug 24 19:01:55 2024,31,0.3836868836314109,[-2.79559827  2.27394512 -2.13740378 -0.15195248  0.53710312 -2.77115046
  3.05048002  2.16156368  1.17647979 -1.09440672]
Sat Aug 24 19:03:36 2024,32,0.3823234567511779,[-2.7917087   2.2778347  -2.1335142  -0.15584205  0.53321355 -2.77504004
  3.05436959  2.1576741   1.17259021 -1.0982963 ]
Sat Aug 24 19:05:18 2024,33,0.3794973551217218,[-2.78701154  2.27313753 -2.13821137 -0.16053921  0.52851639 -2.77034287
  3.04967243  2.15297694  1.16789305 -1.09359913]
Sat Aug 24 19:06:58 2024,34,0.38645932447967296,[-2.78300573  2.26913172 -2.14221718 -0.16454502  0.52451057 -2.77434869
  3.05367824  2.15698275  1.17189886 -1.09760495]
Sat Aug 24 19:08:37 2024,35,0.3862274882776947,[-2.77908261  2.27305484 -2.13829406 -0.16846814  0.52843369 -2.77827181
  3.04975512  2.15305963  1.17582198 -1.09368183]
Sat Aug 24 19:10:16 2024,36,0.3797243175375508,[-2.7749999   2.27713755 -2.14237677 -0.17255085  0.5325164  -2.7741891
  3.05383783  2.15714234  1.17173927 -1.08959912]
Sat Aug 24 19:11:56 2024,37,0.3800243690000773,[-2.77294613  2.27919131 -2.140323   -0.17460462  0.53457017 -2.77624286
  3.05178406  2.15919611  1.16968551 -1.09165288]
Sat Aug 24 19:13:36 2024,38,0.37989104035100696,[-2.76860236  2.27484754 -2.14466677 -0.17026085  0.53022639 -2.77189909
  3.04744029  2.15485234  1.16534174 -1.08730911]
Sat Aug 24 19:15:17 2024,39,0.378924678896815,[-2.76504873  2.27129391 -2.14111314 -0.16670722  0.53378002 -2.76834546
  3.04388666  2.15840597  1.16178811 -1.08375548]
Sat Aug 24 19:16:57 2024,40,0.38020234512383616,[-2.76241128  2.26865646 -2.13847569 -0.16406976  0.53641748 -2.77098292
  3.04124921  2.16104342  1.15915065 -1.08639294]
Sat Aug 24 19:18:37 2024,41,0.38460522137127445,[-2.75891807  2.27214967 -2.1419689  -0.16756297  0.53292427 -2.77447613
  3.04474242  2.16453663  1.15565744 -1.08988615]
Sat Aug 24 19:20:18 2024,42,0.37853638230463316,[-2.75510189  2.2683335  -2.14578507 -0.1637468   0.52910809 -2.7782923
  3.04855859  2.1683528   1.15184127 -1.08606998]
Sat Aug 24 19:21:58 2024,43,0.38086235465010215,[-2.7510592   2.26429081 -2.14982776 -0.16778949  0.5250654  -2.77424961
  3.05260128  2.16431011  1.14779858 -1.09011267]
Sat Aug 24 19:23:38 2024,44,0.37633968528147205,[-2.74695419  2.2601858  -2.14572275 -0.1718945   0.52096039 -2.7701446
  3.05670629  2.1602051   1.15190359 -1.09421768]
Sat Aug 24 19:25:18 2024,45,0.37893432081313283,[-2.74273465  2.25596625 -2.1499423  -0.16767496  0.51674085 -2.77436415
  3.05248675  2.15598556  1.15612314 -1.09843723]
Sat Aug 24 19:26:58 2024,46,0.38428485801409556,[-2.73861456  2.25184617 -2.14582221 -0.17179504  0.52086093 -2.77848423
  3.04836666  2.16010564  1.16024322 -1.10255731]
Sat Aug 24 19:28:37 2024,47,0.37316160419967004,[-2.73554611  2.24877771 -2.14889066 -0.16872659  0.51779248 -2.78155268
  3.05143511  2.16317409  1.16331167 -1.10562577]
Sat Aug 24 19:30:17 2024,48,0.3763981868902717,[-2.73313784  2.25118599 -2.15129894 -0.16631832  0.51538421 -2.77914441
  3.04902684  2.16558237  1.1609034  -1.10803404]
Sat Aug 24 19:31:57 2024,49,0.37470543618929947,[-2.7283321   2.24638025 -2.1464932  -0.16151258  0.52018995 -2.77433867
  3.05383258  2.1703881   1.15609766 -1.1032283 ]
Sat Aug 24 19:33:36 2024,50,0.377741288536876,[-2.72340472  2.24145287 -2.14156582 -0.16643996  0.51526257 -2.77926605
  3.05875995  2.16546073  1.15117029 -1.10815568]
Sat Aug 24 19:35:16 2024,51,0.3775873669523088,[-2.71906808  2.24578952 -2.14590247 -0.16210332  0.51092592 -2.77492941
  3.05442331  2.16112408  1.15550693 -1.11249232]
Sat Aug 24 19:36:56 2024,52,0.3743656451001831,[-2.71481627  2.2415377  -2.14165066 -0.16635513  0.51517774 -2.77918122
  3.0501715   2.15687227  1.15125512 -1.10824051]
Sat Aug 24 19:38:36 2024,53,0.37315585646402066,[-2.71059975  2.23732119 -2.14586717 -0.16213861  0.51939425 -2.77496471
  3.05438801  2.15265576  1.14703861 -1.104024  ]
Sat Aug 24 19:40:15 2024,54,0.3745859523664319,[-2.70574013  2.24218082 -2.1507268  -0.15727899  0.51453462 -2.77010508
