Time,Iteration,Cost,Parameters
  3.0484039   2.08227875  1.14747686 -1.10886831]
Sat Aug 24 19:07:21 2024,33,0.3900361731620892,[-2.1729115   2.0552482  -2.21410725 -0.09692744  0.52292525 -2.60805001
  3.06826372  2.10213856  1.12761704 -1.0890085 ]
Sat Aug 24 19:09:05 2024,34,0.37976087495449357,[-2.15346845  2.07469125 -2.2335503  -0.11637049  0.5034822  -2.58860696
  3.08770677  2.08269552  1.108174   -1.06956545]
Sat Aug 24 19:10:50 2024,35,0.36970501106334447,[-2.13258766  2.05381046 -2.21266951 -0.0954897   0.48260141 -2.60948775
  3.10858756  2.06181472  1.08729321 -1.04868466]
Sat Aug 24 19:12:35 2024,36,0.36445140754185507,[-2.11292383  2.07347429 -2.19300567 -0.07582587  0.50226524 -2.62915159
  3.08892372  2.08147856  1.10695704 -1.02902083]
Sat Aug 24 19:14:20 2024,37,0.3538130171891125,[-2.09356193  2.05411239 -2.17364377 -0.05646397  0.52162715 -2.64851349
  3.10828563  2.10084046  1.08759514 -1.00965892]
Sat Aug 24 19:16:05 2024,38,0.33871208852958357,[-2.07418271  2.07349161 -2.19302299 -0.03708474  0.50224792 -2.66789271
  3.08890641  2.08146124  1.06821591 -1.02903815]
Sat Aug 24 19:17:48 2024,39,0.3356356266672659,[-2.05685181  2.09082251 -2.1756921  -0.01975385  0.48491703 -2.65056182
  3.07157551  2.06413034  1.05088502 -1.04636904]
Sat Aug 24 19:19:33 2024,40,0.3245465654326199,[-2.03844292  2.1092314  -2.15728321 -0.03816274  0.46650814 -2.63215293
  3.0899844   2.04572145  1.06929391 -1.02796015]
Sat Aug 24 19:21:17 2024,41,0.31108746561235523,[-2.01962806  2.12804626 -2.17609806 -0.01934788  0.485323   -2.65096778
  3.10879926  2.06453631  1.08810876 -1.0091453 ]
Sat Aug 24 19:23:01 2024,42,0.313597655192944,[-2.00347812  2.11189632 -2.19224801 -0.00319794  0.46917306 -2.66711772
  3.09264932  2.04838637  1.1042587  -1.02529524]
Sat Aug 24 19:24:45 2024,43,0.30101798562407567,[-1.98636957  2.12900487 -2.17513945 -0.02030649  0.48628161 -2.65000917
  3.07554076  2.06549492  1.08715015 -1.00818668]
Sat Aug 24 19:26:29 2024,44,0.29400247110036953,[-1.97030506  2.14506938 -2.15907494 -0.00424198  0.50234612 -2.66607369
  3.05947625  2.08155943  1.07108564 -0.99212217]
Sat Aug 24 19:28:13 2024,45,0.293581875379874,[-1.95539171  2.15998273 -2.17398829  0.01067137  0.48743277 -2.65116034
  3.0743896   2.09647278  1.05617229 -0.97720882]
Sat Aug 24 19:29:56 2024,46,0.28757182587170077,[-1.93930468  2.1438957  -2.15790126  0.0267584   0.47134575 -2.66724737
  3.05830257  2.11255981  1.04008526 -0.9611218 ]
Sat Aug 24 19:31:41 2024,47,0.28293894218534765,[-1.92586266  2.13045368 -2.14445924  0.01331638  0.45790373 -2.65380534
  3.04486055  2.09911779  1.05352728 -0.97456382]
Sat Aug 24 19:33:24 2024,48,0.27430695356949,[-1.91199465e+00  2.14432168e+00 -2.15832724e+00 -5.51628259e-04
  4.44035721e-01 -2.63993734e+00  3.05872855e+00  2.11298579e+00
  1.03965928e+00 -9.88431822e-01]
Sat Aug 24 19:35:09 2024,49,0.27015069263643315,[-1.89886898  2.15744736 -2.14520157  0.01257405  0.45716139 -2.65306301
  3.04560288  2.09986012  1.05278495 -0.97530615]
Sat Aug 24 19:36:54 2024,50,0.2661785745082734,[-1.88561672e+00  2.14419510e+00 -2.13194931e+00 -6.78216260e-04
  4.43909133e-01 -2.63981075e+00  3.05885514e+00  2.08660786e+00
  1.03953269e+00 -9.88558410e-01]
Sat Aug 24 19:38:39 2024,51,0.26835360490479315,[-1.87189961  2.13047799 -2.1182322  -0.01439533  0.43019202 -2.65352786
  3.04513803  2.10032497  1.02581558 -0.9748413 ]
Sat Aug 24 19:40:23 2024,52,0.25491340155984954,[-1.85993855  2.14243905 -2.13019326 -0.02635639  0.44215308 -2.66548892
  3.03317697  2.11228603  1.01385452 -0.98680236]
Sat Aug 24 19:42:08 2024,53,0.2504944603419722,[-1.84882652  2.15355107 -2.14130528 -0.01524436  0.43104106 -2.6543769
  3.044289    2.101174    1.02496655 -0.97569033]
Sat Aug 24 19:43:51 2024,54,0.24917047988907468,[-1.83837622  2.14310077 -2.13085498 -0.02569466  0.44149136 -2.6439266
  3.0338387   2.0907237   1.01451625 -0.98614063]
Sat Aug 24 19:45:35 2024,55,0.24778154272512778,[-1.82596674  2.15551026 -2.14326447 -0.03810415  0.45390084 -2.65633609
  3.02142921  2.10313319  1.02692573 -0.97373115]
Sat Aug 24 19:47:19 2024,56,0.2474832152548448,[-1.81599263  2.16548437 -2.15323858 -0.02813004  0.44392673 -2.64636197
  3.0114551   2.1131073   1.03689985 -0.98370526]
Sat Aug 24 19:49:03 2024,57,0.24778595889062685,[-1.80641406  2.17506294 -2.16281715 -0.01855147  0.4535053  -2.63678341
  3.02103366  2.12268587  1.02732128 -0.99328382]
Sat Aug 24 19:50:46 2024,58,0.23999411747499794,[-1.79575043  2.16439931 -2.15215352 -0.0292151   0.46416893 -2.62611978
  3.01037003  2.11202224  1.01665765 -0.98262019]
Sat Aug 24 19:52:30 2024,59,0.2358887505419756,[-1.78714475  2.15579363 -2.16075919 -0.03782078  0.45556325 -2.63472545
  3.00176436  2.10341656  1.02526332 -0.97401452]
Sat Aug 24 19:54:13 2024,60,0.23490528715740233,[-1.77893321  2.16400518 -2.15254764 -0.02960923  0.4637748  -2.642937
  3.00997591  2.11162811  1.03347487 -0.98222607]
Sat Aug 24 19:55:57 2024,61,0.22985744196873256,[-1.77078484  2.15585682 -2.14439928 -0.02146087  0.45562644 -2.63478864
  3.01812427  2.11977647  1.02532651 -0.9740777 ]
Sat Aug 24 19:57:40 2024,62,0.2357883856425232,[-1.76131317  2.14638514 -2.13492761 -0.03093254  0.46509811 -2.62531696
  3.00865259  2.12924815  1.01585483 -0.98354938]
Sat Aug 24 19:59:24 2024,63,0.2284594285286608,[-1.75262692  2.1376989  -2.12624136 -0.02224629  0.45641187 -2.63400321
  3.01733884  2.1205619   1.00716859 -0.97486313]
Sat Aug 24 20:01:08 2024,64,0.2321418437067688,[-1.74459256  2.12966454 -2.118207   -0.03028065  0.44837751 -2.64203757
  3.00930448  2.12859626  1.01520295 -0.98289749]
Sat Aug 24 20:02:52 2024,65,0.2244913532433073,[-1.73732491  2.13693219 -2.12547466 -0.03754831  0.44110985 -2.63476991
  3.01657214  2.13586391  1.0224706  -0.99016515]
Sat Aug 24 20:04:36 2024,66,0.21994131760083957,[-1.72943967  2.14481742 -2.13335989 -0.04543354  0.43322462 -2.64265515
  3.02445737  2.12797868  1.01458537 -0.98227991]
