JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0fpf64fbx30008vydvg,d0fpevk36cs0008r68x0,Completed,,2025-05-10T14:50:00.764Z,2025-05-10T17:20:54.009Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fpf44vpqf000846n7g,d0fpevk36cs0008r68x0,Completed,,2025-05-10T14:49:52.444Z,2025-05-10T17:19:53.715Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fpf0mfbx30008vydtg,d0fpevk36cs0008r68x0,Completed,,2025-05-10T14:49:39.087Z,2025-05-10T17:18:52.759Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
