JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0fj0qafbx30008vxt40,d0fj0ahvpqf0008461d0,Completed,,2025-05-10T09:46:05.957Z,2025-05-10T10:28:50.167Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fj0mtehmr0008g3xv0,d0fj0ahvpqf0008461d0,Completed,,2025-05-10T09:45:56.090Z,2025-05-10T10:29:50.469Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fj0jjfbx30008vxt1g,d0fj0ahvpqf0008461d0,Completed,,2025-05-10T09:45:46.324Z,2025-05-10T10:27:49.733Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fj0f1crrag008bnbq0,d0fj0ahvpqf0008461d0,Completed,,2025-05-10T09:45:32.903Z,2025-05-10T10:26:49.432Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
