JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0fzayvfbx30008vzqh0,d0fzafhcrrag008bq9bg,Completed,,2025-05-11T00:55:23.908Z,2025-05-11T04:05:55.312Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fzavvehmr0008g5wzg,d0fzafhcrrag008bq9bg,Completed,,2025-05-11T00:55:11.526Z,2025-05-11T04:04:23.188Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fzarbvpqf00084808g,d0fzafhcrrag008bq9bg,Completed,,2025-05-11T00:54:57.375Z,2025-05-11T04:03:22.723Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fzam2fbx30008vzqfg,d0fzafhcrrag008bq9bg,Completed,,2025-05-11T00:54:40.712Z,2025-05-11T04:02:22.032Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
