JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0fs59nfbx30008vypsg,d0fs4tb36cs0008r6hp0,Completed,,2025-05-10T17:53:42.622Z,2025-05-10T19:53:09.003Z,77,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fs58dcrrag008bp7jg,d0fs4tb36cs0008r6hp0,Completed,,2025-05-10T17:53:38.157Z,2025-05-10T19:51:32.253Z,76,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fs53w36cs0008r6ht0,d0fs4tb36cs0008r6hp0,Completed,,2025-05-10T17:53:19.701Z,2025-05-10T19:49:56.032Z,77,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0fs4z3ehmr0008g4ttg,d0fs4tb36cs0008r6hp0,Completed,,2025-05-10T17:53:01.141Z,2025-05-10T19:48:33.343Z,77,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
