Time,Iteration,Cost,Parameters
Sun Aug 25 00:24:50 2024,49,0.17246018870341526,[-2.91187335  2.23612953 -2.1247517  -0.11539529  0.55499928]
Sun Aug 25 00:26:02 2024,50,0.17404906726191166,[-2.91251887  2.235484   -2.12539722 -0.11604082  0.55435375]
Sun Aug 25 00:27:14 2024,51,0.17416614303581004,[-2.91209348  2.2359094  -2.12582262 -0.11561542  0.55477914]
Sun Aug 25 00:28:26 2024,52,0.18095152936669354,[-2.91279733  2.23661325 -2.12652647 -0.11491157  0.555483  ]
Sun Aug 25 00:29:38 2024,53,0.17598799643726049,[-2.91404596  2.23786188 -2.12527784 -0.1161602   0.55673163]
Sun Aug 25 00:30:51 2024,54,0.17454249922627876,[-2.91446666  2.23744118 -2.12569854 -0.1157395   0.55631092]
Sun Aug 25 00:32:03 2024,55,0.1747805883105562,[-2.91548331  2.23845782 -2.12671518 -0.11675614  0.55529428]
Sun Aug 25 00:33:15 2024,56,0.17778552728333002,[-2.91635978  2.23758135 -2.12759166 -0.11763262  0.55617075]
Sun Aug 25 00:34:27 2024,57,0.17462832575707024,[-2.91541631  2.23852481 -2.12853513 -0.11857608  0.55522729]
Sun Aug 25 00:35:39 2024,58,0.17291760401041928,[-2.91582731  2.23893581 -2.12894612 -0.11816509  0.55563828]
Sun Aug 25 00:36:51 2024,59,0.17650625010376828,[-2.91589781  2.23900631 -2.12887562 -0.11823559  0.55556778]
Sun Aug 25 00:38:03 2024,60,0.17525568839207978,[-2.91663934  2.23826477 -2.12961715 -0.11749406  0.55630931]
Sun Aug 25 00:39:15 2024,61,0.17185649500862937,[-2.91659698  2.23830713 -2.12957479 -0.11753641  0.55626696]
Sun Aug 25 00:40:27 2024,62,0.17569701351572542,[-2.91624136  2.23795151 -2.12921917 -0.11789204  0.55662258]
Sun Aug 25 00:41:39 2024,63,0.175539925226649,[-2.91749863  2.23669424 -2.13047645 -0.11663476  0.55787985]
Sun Aug 25 00:42:52 2024,64,0.17487974373182574,[-2.91817085  2.23736645 -2.13114866 -0.11730698  0.55855206]
Sun Aug 25 00:44:04 2024,65,0.17410943567263423,[-2.91886587  2.23806147 -2.13045364 -0.11661195  0.55785704]
Sun Aug 25 00:45:16 2024,66,0.17129243854620552,[-2.9195675   2.23735984 -2.13115527 -0.11731358  0.55855867]
Sun Aug 25 00:46:29 2024,67,0.17579490775886,[-2.92078513  2.23857748 -2.12993763 -0.11609595  0.5597763 ]
Sun Aug 25 00:47:41 2024,68,0.18054631617502762,[-2.92174912  2.23761349 -2.13090162 -0.11705993  0.55881232]
Sun Aug 25 00:48:53 2024,69,0.1759140519552003,[-2.92242598  2.23829035 -2.13022476 -0.11638307  0.55948918]
Sun Aug 25 00:50:06 2024,70,0.18056731948539473,[-2.92274272  2.23797361 -2.1305415  -0.11669982  0.55917243]
Sun Aug 25 00:51:18 2024,71,0.176526699874678,[-2.92260745  2.23810888 -2.13067677 -0.11656455  0.55903716]
Sun Aug 25 00:52:31 2024,72,0.17571183148011849,[-2.92269301  2.23802332 -2.13059122 -0.11647899  0.55912272]
Sun Aug 25 00:53:43 2024,73,0.17312563462273858,[-2.92273658  2.2380669  -2.13054764 -0.11652257  0.55916629]
Sun Aug 25 00:54:56 2024,74,0.17447813586660188,[-2.9227273   2.23805762 -2.13055692 -0.11653185  0.55915701]
Sun Aug 25 00:56:08 2024,75,0.17635036618036953,[-2.92185514  2.23718546 -2.12968477 -0.11565969  0.55828485]
Sun Aug 25 00:57:20 2024,76,0.17473427749250106,[-2.92242103  2.23661957 -2.13025065 -0.11622557  0.55885074]
Sun Aug 25 00:58:32 2024,77,0.17659278244812077,[-2.92217023  2.23687037 -2.12999985 -0.11647637  0.55859994]
Sun Aug 25 00:59:45 2024,78,0.17686623219773376,[-2.92230612  2.23673448 -2.13013575 -0.11634048  0.55873583]
Sun Aug 25 01:00:56 2024,79,0.17600603603850334,[-2.92308502  2.23751337 -2.13091464 -0.11711937  0.55795694]
Sun Aug 25 01:02:08 2024,80,0.17503372903072645,[-2.92367219  2.2369262  -2.13150182 -0.11770654  0.55736976]
Sun Aug 25 01:03:21 2024,81,0.1753138386009574,[-2.92467224  2.23592616 -2.13250186 -0.1167065   0.55636972]
Sun Aug 25 01:04:32 2024,82,0.17583474782124267,[-2.92530556  2.23655948 -2.13186854 -0.11607318  0.5557364 ]
Sun Aug 25 01:05:44 2024,83,0.17483204852648293,[-2.9253602   2.23661412 -2.13192318 -0.11612782  0.55579104]
Sun Aug 25 01:06:56 2024,84,0.17794237827359538,[-2.92554488  2.2367988  -2.13210786 -0.1163125   0.55560636]
Sun Aug 25 01:08:08 2024,85,0.17689115128231409,[-2.92601471  2.23726863 -2.13257769 -0.11678233  0.55513653]
Sun Aug 25 01:09:20 2024,86,0.17494422633831624,[-2.926688    2.23659534 -2.13325098 -0.11610904  0.55446325]
Sun Aug 25 01:10:32 2024,87,0.17462743850569074,[-2.92737354  2.2359098  -2.13256543 -0.11679458  0.5537777 ]
