Time,Iteration,Cost,Parameters
Sat Aug 24 23:05:46 2024,49,0.2236260712846382,[-1.78194594  2.26583055 -2.15270258 -0.17438543  0.59054358]
Sat Aug 24 23:06:42 2024,50,0.2155156514329624,[-1.76955908  2.27821741 -2.16508944 -0.18677228  0.60293043]
Sat Aug 24 23:07:39 2024,51,0.21140320970274978,[-1.75694602  2.26560435 -2.15247638 -0.19938534  0.59031737]
Sat Aug 24 23:08:36 2024,52,0.20471465732846314,[-1.74486127  2.27768911 -2.14039162 -0.18730058  0.57823262]
Sat Aug 24 23:09:32 2024,53,0.20281971125037596,[-1.73494297  2.26777081 -2.15030992 -0.17738228  0.56831432]
Sat Aug 24 23:10:28 2024,54,0.20508877735428693,[-1.72413511  2.27857866 -2.16111778 -0.16657442  0.55750646]
Sat Aug 24 23:11:25 2024,55,0.1952434539331768,[-1.71373997  2.2889738  -2.17151292 -0.17696956  0.54711132]
Sat Aug 24 23:12:21 2024,56,0.1975942935835056,[-1.70305171  2.29966206 -2.18220118 -0.1662813   0.53642306]
Sat Aug 24 23:13:18 2024,57,0.19683868924114012,[-1.6942809   2.30843288 -2.19097199 -0.15751049  0.54519387]
Sat Aug 24 23:14:14 2024,58,0.18965567962202998,[-1.68564139  2.31707238 -2.18233249 -0.16614999  0.53655437]
Sat Aug 24 23:15:10 2024,59,0.19127129201484167,[-1.67699214  2.32572163 -2.17368324 -0.15750074  0.54520362]
Sat Aug 24 23:16:07 2024,60,0.1926622279766465,[-1.66916873  2.33354505 -2.18150665 -0.14967733  0.53738021]
Sat Aug 24 23:17:03 2024,61,0.18326553577026777,[-1.66180436  2.34090942 -2.18887102 -0.1570417   0.54474458]
Sat Aug 24 23:17:59 2024,62,0.18454410211952071,[-1.65418215  2.33328721 -2.19649323 -0.14941949  0.55236678]
Sat Aug 24 23:18:56 2024,63,0.1806669039170055,[-1.64485848  2.32396354 -2.18716956 -0.14009582  0.56169045]
Sat Aug 24 23:19:53 2024,64,0.17720474705113165,[-1.63765462  2.3311674  -2.1799657  -0.13289196  0.55448659]
Sat Aug 24 23:20:49 2024,65,0.17740156680650193,[-1.63025073  2.33857128 -2.17256181 -0.12548808  0.54708271]
Sat Aug 24 23:21:45 2024,66,0.1771030935012047,[-1.62303938  2.34578264 -2.16535046 -0.11827672  0.53987135]
Sat Aug 24 23:22:42 2024,67,0.1792963720109274,[-1.6163481   2.33909136 -2.17204173 -0.124968    0.53318007]
Sat Aug 24 23:23:38 2024,68,0.17561132652434952,[-1.61030499  2.33304825 -2.16599862 -0.13101111  0.52713696]
Sat Aug 24 23:24:35 2024,69,0.17357659246041643,[-1.60419971  2.33915354 -2.15989334 -0.13711639  0.52103168]
Sat Aug 24 23:25:31 2024,70,0.17180234679395998,[-1.59803677  2.34531647 -2.16605628 -0.14327932  0.52719462]
Sat Aug 24 23:26:28 2024,71,0.1736982884270598,[-1.59159555  2.33887525 -2.15961506 -0.14972054  0.5207534 ]
Sat Aug 24 23:27:25 2024,72,0.16725612938639564,[-1.58631283  2.33359253 -2.16489778 -0.14443782  0.52603612]
Sat Aug 24 23:28:21 2024,73,0.17621268369292342,[-1.5811073   2.33879807 -2.15969224 -0.14964336  0.52083058]
Sat Aug 24 23:29:18 2024,74,0.1755162351685574,[-1.57604922  2.34385614 -2.16475032 -0.14458528  0.51577251]
Sat Aug 24 23:30:14 2024,75,0.17238562602767157,[-1.57146889  2.34843647 -2.16933065 -0.14916561  0.52035284]
Sat Aug 24 23:31:11 2024,76,0.171301318319976,[-1.56701156  2.3528938  -2.16487333 -0.14470828  0.51589551]
Sat Aug 24 23:32:07 2024,77,0.1713755112818246,[-1.56244127  2.3483235  -2.16030303 -0.14927858  0.52046581]
Sat Aug 24 23:33:04 2024,78,0.1674460776157206,[-1.557428    2.35333677 -2.16531629 -0.14426532  0.52547907]
Sat Aug 24 23:34:00 2024,79,0.17144236078328695,[-1.55294639  2.35781838 -2.1697979  -0.13978371  0.52996068]
Sat Aug 24 23:34:56 2024,80,0.17059536474375087,[-1.5486309   2.36213387 -2.16548241 -0.1440992   0.53427617]
Sat Aug 24 23:35:52 2024,81,0.1638738901108504,[-1.5440651   2.35756807 -2.17004821 -0.1395334   0.52971037]
Sat Aug 24 23:36:49 2024,82,0.16747194695867498,[-1.54007769  2.35358066 -2.17403562 -0.14352081  0.53369779]
Sat Aug 24 23:37:45 2024,83,0.16743667396406994,[-1.53655771  2.35006068 -2.17051565 -0.14704079  0.53721776]
Sat Aug 24 23:38:42 2024,84,0.16378006198867592,[-1.53310185  2.35351654 -2.17397151 -0.14358493  0.53376191]
Sat Aug 24 23:39:39 2024,85,0.16616492250690762,[-1.52864697  2.34906166 -2.17842639 -0.13913005  0.53821679]
Sat Aug 24 23:40:36 2024,86,0.165833040442906,[-1.52514535  2.35256328 -2.17492476 -0.14263167  0.53471516]
Sat Aug 24 23:41:32 2024,87,0.16522876053107557,[-1.52232433  2.3553843  -2.17210374 -0.1454527   0.53189414]
Sat Aug 24 23:42:29 2024,88,0.165140862862743,[-1.51845023  2.3592584  -2.16822965 -0.1415786   0.52802005]
Sat Aug 24 23:43:25 2024,89,0.1694544597987823,[-1.51508095  2.35588911 -2.16486036 -0.13820932  0.53138933]
Sat Aug 24 23:44:22 2024,90,0.1648099938946412,[-1.51150508  2.35946498 -2.1612845  -0.14178518  0.52781347]
Sat Aug 24 23:45:19 2024,91,0.1623996157041298,[-1.50883556  2.35679546 -2.15861498 -0.1444547   0.52514394]
Sat Aug 24 23:46:15 2024,92,0.16536586319235547,[-1.50585166  2.35977935 -2.15563108 -0.14147081  0.52812784]
Sat Aug 24 23:47:12 2024,93,0.16533216055792674,[-1.50322211  2.36240891 -2.15300152 -0.14410037  0.53075739]
Sat Aug 24 23:48:08 2024,94,0.16329713709731775,[-1.50023978  2.35942658 -2.15598385 -0.14111804  0.53373972]
Sat Aug 24 23:49:05 2024,95,0.16186237283129906,[-1.49847448  2.36119188 -2.15774915 -0.14288334  0.53550502]
Sat Aug 24 23:50:01 2024,96,0.16400245328020216,[-1.49537932  2.35809671 -2.15465398 -0.14597851  0.53240985]
Sat Aug 24 23:50:58 2024,97,0.16385402794674644,[-1.49328212  2.35599952 -2.15675118 -0.14388131  0.53450705]
Sat Aug 24 23:51:55 2024,98,0.1640327887698024,[-1.49096757  2.35368497 -2.15906573 -0.14619586  0.53682159]
Sat Aug 24 23:52:52 2024,99,0.16432915759945102,[-1.48887024  2.3557823  -2.15696839 -0.14829319  0.53472426]
Sat Aug 24 23:53:49 2024,100,0.16472081936259214,[-1.48722073  2.35743181 -2.15531888 -0.1499427   0.53637378]
Sat Aug 24 23:54:46 2024,101,0.16327752681834093,[-1.48631088  2.35834166 -2.15622873 -0.14903286  0.53546393]
Sat Aug 24 23:55:42 2024,102,0.16411025187208497,[-1.4842849   2.35631568 -2.15825471 -0.14700688  0.53343795]
Sat Aug 24 23:56:39 2024,103,0.16000549868704916,[-1.48178487  2.35881571 -2.15575468 -0.14950691  0.53093792]
