Time,Iteration,Cost,Parameters
  3.07207583  2.15106457  1.18130455 -1.05947015]
Sun Aug 25 00:47:14 2024,33,0.42390308898024237,[-2.7958079   2.22651011 -2.12889451 -0.10389977  0.52357171 -2.77529541
  3.07580118  2.14733923  1.17757921 -1.0631955 ]
Sun Aug 25 00:49:06 2024,34,0.4219644591622461,[-2.79078083  2.23153718 -2.13392158 -0.10892684  0.51854464 -2.78032248
  3.07077411  2.14231216  1.17255214 -1.05816843]
Sun Aug 25 00:50:57 2024,35,0.4222571540349446,[-2.78726591  2.22802226 -2.13040666 -0.10541192  0.51502972 -2.77680756
  3.06725919  2.13879724  1.17606706 -1.06168335]
Sun Aug 25 00:52:48 2024,36,0.4214003367558472,[-2.78309599  2.23219218 -2.13457657 -0.10958183  0.51085981 -2.78097747
  3.0714291   2.13462732  1.17189715 -1.05751343]
Sun Aug 25 00:54:40 2024,37,0.41775739312929244,[-2.7797123   2.23557587 -2.13119288 -0.11296553  0.50747611 -2.77759377
  3.0748128   2.13124363  1.17528084 -1.06089713]
Sun Aug 25 00:56:31 2024,38,0.41987301082255063,[-2.77519986  2.23106343 -2.12668044 -0.11747796  0.51198855 -2.77308134
  3.07932523  2.13575606  1.17076841 -1.06540957]
Sun Aug 25 00:58:23 2024,39,0.41805882128355576,[-2.77124935  2.23501395 -2.12272993 -0.11352745  0.51593906 -2.76913082
  3.07537472  2.13970658  1.16681789 -1.06145905]
Sun Aug 25 01:00:14 2024,40,0.4153869527347135,[-2.76736169  2.2311263  -2.12661758 -0.10963979  0.51982671 -2.76524317
  3.07148707  2.14359423  1.16293024 -1.0653467 ]
Sun Aug 25 01:02:06 2024,41,0.41522384491887143,[-2.76305388  2.22681849 -2.12230977 -0.11394761  0.5155189  -2.76955098
  3.07579488  2.14790204  1.15862243 -1.06103889]
Sun Aug 25 01:03:58 2024,42,0.41653961326253386,[-2.75836246  2.22212706 -2.11761835 -0.10925618  0.52021032 -2.7742424
  3.0804863   2.14321062  1.16331385 -1.06573031]
Sun Aug 25 01:05:50 2024,43,0.4179509945775108,[-2.75459773  2.21836233 -2.12138308 -0.11302092  0.51644559 -2.77800713
  3.08425103  2.14697535  1.16707858 -1.06949504]
Sun Aug 25 01:07:40 2024,44,0.4143420096129678,[-2.75018231  2.22277776 -2.1257985  -0.11743634  0.52086101 -2.78242255
  3.08866645  2.14255993  1.171494   -1.07391047]
Sun Aug 25 01:09:30 2024,45,0.4100299450454348,[-2.74583047  2.2271296  -2.13015034 -0.11308449  0.52521286 -2.7867744
  3.08431461  2.14691177  1.17584584 -1.06955862]
Sun Aug 25 01:11:20 2024,46,0.4158738716995261,[-2.74142866  2.2315314  -2.13455215 -0.10868269  0.52081105 -2.7911762
  3.0799128   2.14250997  1.18024765 -1.07396043]
Sun Aug 25 01:13:10 2024,47,0.4138913348221012,[-2.73617355  2.23678652 -2.13980726 -0.10342757  0.51555593 -2.79643132
  3.07465768  2.13725485  1.17499253 -1.06870531]
Sun Aug 25 01:15:00 2024,48,0.41475286098369196,[-2.73174298  2.23235595 -2.14423783 -0.098997    0.51112537 -2.79200075
  3.07022711  2.13282428  1.17056196 -1.06427474]
Sun Aug 25 01:16:50 2024,49,0.41149230050960867,[-2.72679183  2.2373071  -2.14918898 -0.09404586  0.51607651 -2.79695189
  3.06527597  2.13777543  1.17551311 -1.0593236 ]
Sun Aug 25 01:18:40 2024,50,0.41064939298359987,[-2.72155659  2.23207185 -2.15442422 -0.0992811   0.52131175 -2.80218714
  3.06004073  2.14301067  1.18074835 -1.05408836]
Sun Aug 25 01:20:29 2024,51,0.4104430222612862,[-2.71663877  2.22715403 -2.1495064  -0.10419892  0.51639394 -2.79726932
  3.06495854  2.13809285  1.17583053 -1.04917054]
Sun Aug 25 01:22:19 2024,52,0.41100784665915124,[-2.711961    2.23183181 -2.14482863 -0.09952115  0.52107171 -2.8019471
  3.06963632  2.13341508  1.17115276 -1.04449276]
Sun Aug 25 01:24:09 2024,53,0.4106393395921169,[-2.70648445  2.23730835 -2.15030517 -0.10499769  0.51559517 -2.80742364
  3.07511286  2.12793853  1.1766293  -1.03901622]
Sun Aug 25 01:25:59 2024,54,0.40968006439926563,[-2.7017473   2.2325712  -2.14556802 -0.10973484  0.52033232 -2.80268649
  3.07985002  2.12320138  1.17189215 -1.03427906]
Sun Aug 25 01:27:49 2024,55,0.41234534339152656,[-2.69679739  2.23752111 -2.15051793 -0.10478494  0.51538242 -2.8076364
  3.08479992  2.12815129  1.17684206 -1.03922897]
Sun Aug 25 01:29:39 2024,56,0.4070873798428314,[-2.69193677  2.24238173 -2.15537855 -0.10964556  0.52024304 -2.80277577
  3.0799393   2.12329066  1.18170268 -1.0440896 ]
Sun Aug 25 01:31:29 2024,57,0.40480080960621934,[-2.68644425  2.23688922 -2.16087107 -0.11513808  0.52573556 -2.79728326
  3.07444678  2.11779815  1.17621017 -1.04958211]
Sun Aug 25 01:33:19 2024,58,0.40335161581123274,[-2.68124135  2.23168632 -2.16607396 -0.10993518  0.52053266 -2.80248616
  3.06924388  2.11259525  1.18141307 -1.05478501]
Sun Aug 25 01:35:09 2024,59,0.40840570455252734,[-2.67677547  2.22722044 -2.17053985 -0.11440106  0.52499854 -2.79802027
  3.064778    2.11706113  1.18587895 -1.05031913]
Sun Aug 25 01:36:59 2024,60,0.40890190172704627,[-2.67174021  2.22218517 -2.16550459 -0.1093658   0.5300338  -2.80305553
  3.06981326  2.11202587  1.18084369 -1.05535439]
Sun Aug 25 01:38:48 2024,61,0.405025541410224,[-2.66613974  2.21658471 -2.15990412 -0.11496626  0.53563427 -2.808656
  3.0642128   2.10642541  1.17524323 -1.06095485]
Sun Aug 25 01:40:38 2024,62,0.4068577778708215,[-2.65988364  2.22284081 -2.16616023 -0.12122236  0.54189037 -2.80239989
  3.0704689   2.1001693   1.18149933 -1.06721095]
Sun Aug 25 01:42:28 2024,63,0.40577120565598696,[-2.65514054  2.21809771 -2.17090333 -0.11647926  0.53714727 -2.807143
  3.0657258   2.10491241  1.17675623 -1.07195406]
Sun Aug 25 01:44:18 2024,64,0.4008874226055842,[-2.64939852  2.22383973 -2.17664535 -0.11073724  0.53140524 -2.80140097
  3.07146782  2.11065443  1.1710142  -1.06621203]
Sun Aug 25 01:46:08 2024,65,0.40146914065354106,[-2.64347116  2.22976709 -2.18257271 -0.10480988  0.5373326  -2.79547362
  3.06554046  2.11658179  1.16508685 -1.07213939]
Sun Aug 25 01:47:57 2024,66,0.4024954430719731,[-2.63772646  2.23551179 -2.17682801 -0.11055458  0.5430773  -2.80121832
  3.05979577  2.12232649  1.15934215 -1.07788409]
Sun Aug 25 01:49:46 2024,67,0.39786421548594186,[-2.63213436  2.24110389 -2.18242011 -0.11614669  0.53748519 -2.80681042
  3.05420366  2.12791859  1.15375005 -1.08347619]
Sun Aug 25 01:51:37 2024,68,0.3968026456030654,[-2.62666232  2.23563186 -2.18789215 -0.12161872  0.54295723 -2.81228246
  3.0596757   2.12244655  1.14827801 -1.08894823]
Sun Aug 25 01:53:26 2024,69,0.39598948563175945,[-2.62115991  2.23012945 -2.19339456 -0.12712113  0.54845964 -2.81778486
  3.0651781   2.12794896  1.1427756  -1.09445063]
Sun Aug 25 01:55:16 2024,70,0.3931593940816271,[-2.61588914  2.22485868 -2.19866533 -0.1323919   0.54318886 -2.81251409
  3.05990733  2.13321973  1.13750483 -1.09972141]
Sun Aug 25 01:57:06 2024,71,0.39414289116866935,[-2.610709    2.23003881 -2.20384547 -0.12721177  0.53800873 -2.80733395
  3.06508747  2.13839987  1.14268496 -1.10490154]
Sun Aug 25 01:58:55 2024,72,0.3954506398876734,[-2.60399111  2.22332092 -2.21056336 -0.13392966  0.54472662 -2.81405185
  3.05836957  2.14511776  1.14940286 -1.09818365]
