Time,Iteration,Cost,Parameters
 -2.4549479  -2.19904901  3.12579144  2.43912816 -0.74556518 -2.82529486
  1.41335165 -0.00432173 -2.4288232   2.18776678  1.53069044 -0.64577867
  0.95124531 -1.54071671 -0.38723617  2.44894737 -0.03536795  0.72880586
  2.88023592  1.01262215  3.08908851  2.95752587  2.92048397 -2.79540407
  0.05516617 -0.33273346  1.45605973  2.81800893 -0.44030528 -2.32998703
  2.42587636 -3.05302198  0.71367113 -0.62023458 -1.86670399  2.6845104
 -1.85016155 -1.65579957 -2.51762101  2.16315505 -2.24912006  2.18201993
  2.22967167  1.69776747  2.36406345  2.86374486  1.63380217  1.7119476
 -1.91201646 -2.20157671  1.25832653]
Sat Nov 23 14:55:14 2024,1286,0.021217171522030336,[-3.00109736  2.35720222 -2.20234092 -0.1655461   0.61315289 -2.801278
  3.11319364  2.14439357  0.9776502  -0.94029666  0.67163969  0.90729375
  1.3300056  -1.91045861  1.04447156  2.93088845 -0.37361753 -0.36253414
 -1.93161774  0.86625219  1.81240093  2.75956954 -1.14934595 -0.330163
 -2.44494064 -2.18904175  3.1357987   2.44913543 -0.75557244 -2.83530213
  1.40334439  0.00568553 -2.41881594  2.19777404  1.54069771 -0.6357714
  0.94123804 -1.53070945 -0.39724344  2.45895463 -0.02536068  0.71879859
  2.87022866  1.02262941  3.07908125  2.96753313  2.9104767  -2.80541133
  0.04515891 -0.3227262   1.46606699  2.80800167 -0.45031254 -2.33999429
  2.43588362 -3.06302925  0.70366387 -0.61022731 -1.85669672  2.67450313
 -1.86016881 -1.64579231 -2.52762827  2.17316232 -2.23911279  2.17201267
  2.21966441  1.68776021  2.35405619  2.87375213  1.64380943  1.70194033
 -1.92202372 -2.19156945  1.26833379]
Sat Nov 23 15:06:17 2024,1287,0.020412769133236187,[-3.00405423e+00  2.35424536e+00 -2.20529778e+00 -1.62589230e-01
  6.10196020e-01 -2.79832113e+00  3.11615050e+00  2.14143670e+00
  9.80607067e-01 -9.43253527e-01  6.74596551e-01  9.10250615e-01
  1.32704873e+00 -1.91341548e+00  1.04151469e+00  2.92793158e+00
 -3.70660666e-01 -3.59577271e-01 -1.92866088e+00  8.63295324e-01
  1.81535779e+00  2.76252641e+00 -1.15230281e+00 -3.27206131e-01
 -2.44789750e+00 -2.19199861e+00  3.13875557e+00  2.44617856e+00
 -7.52615576e-01 -2.83825899e+00  1.40630126e+00  2.72866833e-03
 -2.41585907e+00  2.19481717e+00  1.53774084e+00 -6.38728270e-01
  9.44194908e-01 -1.52775258e+00 -3.94286573e-01  2.46191150e+00
 -2.24038171e-02  7.15841726e-01  2.86727179e+00  1.01967254e+00
  3.07612438e+00  2.97049000e+00  2.90751984e+00 -2.80836819e+00
  4.81157767e-02 -3.19769332e-01  1.46311013e+00  2.81095853e+00
 -4.53269405e-01 -2.33703742e+00  2.43292676e+00 -3.06598611e+00
  7.00707001e-01 -6.07270449e-01 -1.85965359e+00  2.67154627e+00
 -1.85721194e+00 -1.64874917e+00 -2.52467141e+00  2.17020545e+00
 -2.24206966e+00  2.17496954e+00  2.21670754e+00  1.68480334e+00
  2.35109932e+00  2.87079526e+00  1.64085257e+00  1.70489720e+00
 -1.91906685e+00 -2.18861258e+00  1.26537693e+00]
Sat Nov 23 15:17:11 2024,1288,0.02091409184692107,[-3.00654113e+00  2.35673226e+00 -2.20778469e+00 -1.65076134e-01
  6.07709115e-01 -2.80080804e+00  3.11366360e+00  2.13894980e+00
  9.78120163e-01 -9.45740431e-01  6.77083455e-01  9.07763711e-01
  1.32953563e+00 -1.91590238e+00  1.04400160e+00  2.92544468e+00
 -3.73147571e-01 -3.62064176e-01 -1.92617397e+00  8.65782228e-01
  1.81287089e+00  2.76003950e+00 -1.15478972e+00 -3.24719227e-01
 -2.44541060e+00 -2.19448552e+00  3.13626867e+00  2.44866547e+00
 -7.50128672e-01 -2.83577209e+00  1.40381435e+00  2.41764231e-04
 -2.41337217e+00  2.19233027e+00  1.53525394e+00 -6.36241366e-01
