Time,Iteration,Cost,Parameters
 -2.4520712  -2.19792699  3.1367867   2.45642033 -0.74599399 -2.8373442
  1.41728788 -0.00663446 -2.39928186  2.2132925   1.51758297 -0.61795467
  0.92866289 -1.54182441 -0.39861429  2.45672837 -0.03748307  0.71523535
  2.84257483  0.99779733  3.06770183  2.98444922  2.89850902 -2.82680408
  0.03896916 -0.31720564  1.44666319  2.79231315 -0.43697849 -2.318061
  2.42159577 -3.08470782  0.7227037  -0.60568542 -1.84674924  2.67274536
 -1.8439782  -1.66328697 -2.527825    2.15426069 -2.23189701  2.17659693
  2.22095029  1.70802361  2.36678216  2.88792962  1.62586534  1.68314954
 -1.93609935 -2.18991784  1.26426598]
Sat Nov 23 18:11:34 2024,1304,0.025653842366283153,[-3.00502767  2.34002125 -2.19620063 -0.17312109  0.5967984  -2.78368492
  3.14190203  2.12498479  0.98918238 -0.97638108  0.6586331   0.92320291
  1.31156703 -1.93161283  1.0531825   2.90647851 -0.36172462 -0.3732151
 -1.91496443  0.87632236  1.78321056  2.74310269 -1.13857477 -0.33640286
 -2.45156442 -2.1974202   3.13627992  2.45591354 -0.74650078 -2.83683741
  1.41779466 -0.00714124 -2.39877507  2.21278572  1.51808976 -0.61744788
  0.9281561  -1.54131762 -0.39912107  2.45622159 -0.03697629  0.71472856
  2.84206805  0.99729055  3.06820862  2.98495601  2.89800223 -2.82731086
  0.03846237 -0.31669885  1.4461564   2.79281994 -0.4364717  -2.31856779
  2.42108899 -3.08420104  0.72219692 -0.60517863 -1.84725603  2.67223857
 -1.84448498 -1.66278018 -2.52833178  2.15476748 -2.23139022  2.17609015
  2.22145707  1.70751683  2.36728894  2.88742284  1.62535855  1.68264276
 -1.93660613 -2.18941105  1.26477276]
Sat Nov 23 18:22:48 2024,1305,0.025304580835378312,[-3.0038134   2.34123551 -2.19498637 -0.17190683  0.59801266 -2.78489918
  3.1431163   2.12377052  0.98796811 -0.97516682  0.65741884  0.92441717
  1.3127813  -1.93282709  1.05196823  2.90769277 -0.36051036 -0.37200083
 -1.91375016  0.87510809  1.78442483  2.74188843 -1.13736051 -0.33761712
 -2.45035015 -2.19620594  3.13749418  2.45712781 -0.74771504 -2.83805168
  1.4165804  -0.00835551 -2.39756081  2.21399998  1.51687549 -0.61623362
  0.92937036 -1.54010336 -0.40033534  2.45500732 -0.03576202  0.7135143
  2.84328231  0.99607628  3.06942288  2.98374174  2.8992165  -2.8260966
  0.03724811 -0.31548459  1.44737066  2.79160567 -0.43768597 -2.31978205
  2.41987472 -3.0854153   0.72341118 -0.60639289 -1.84847029  2.67102431
 -1.84327072 -1.66399445 -2.52711752  2.15598174 -2.23260448  2.17487588
  2.22267134  1.70630256  2.36607468  2.88620857  1.62657282  1.68142849
 -1.9378204  -2.19062532  1.2635585 ]
Sat Nov 23 18:33:48 2024,1306,0.025974329204022,[-3.00366282  2.3413861  -2.19513696 -0.17205741  0.59786208 -2.78474859
  3.14296571  2.12392111  0.9881187  -0.97501623  0.65726825  0.92456776
  1.31263071 -1.93267651  1.05181765  2.90754219 -0.36035977 -0.37185025
 -1.91390075  0.87525868  1.78427424  2.74173784 -1.1375111  -0.33746654
 -2.45019957 -2.19635652  3.13734359  2.45727839 -0.74786563 -2.83790109
  1.41673098 -0.00820492 -2.39741022  2.2138494   1.51672491 -0.6163842
  0.92952095 -1.54025394 -0.40018475  2.45515791 -0.03561144  0.71336371
  2.8434329   0.99622687  3.06927229  2.98359115  2.89906591 -2.82624718
  0.03709752 -0.315334    1.44722008  2.79175626 -0.43753538 -2.31993264
  2.41972414 -3.08526471  0.72326059 -0.60654348 -1.84862088  2.67087372
 -1.8434213  -1.66414503 -2.52726811  2.15583115 -2.23275507  2.1747253
  2.22252075  1.70645315  2.36622526  2.88605798  1.62642223  1.68157908
 -1.93766981 -2.19047473  1.26370909]
Sat Nov 23 18:44:37 2024,1307,0.026402204351470157,[-3.00464597  2.34236926 -2.1941538  -0.17107426  0.59884523 -2.78573175
  3.14394886  2.12490427  0.98713554 -0.97599939  0.6562851   0.9235846
  1.31361386 -1.93169335  1.0528008   2.90852534 -0.36134292 -0.3728334
 -1.9129176   0.87624183  1.7852574   2.742721   -1.13849425 -0.33648338
 -2.45118272 -2.19733968  3.13832675  2.45629524 -0.74688247 -2.83888424
  1.41771414 -0.00722177 -2.39839338  2.21483255  1.51574175 -0.61736736
  0.9285378  -1.53927079 -0.40116791  2.45614106 -0.03462828  0.71434687
  2.84244974  0.99524371  3.07025545  2.98457431  2.90004907 -2.82526403
  0.03808068 -0.31631716  1.44820323  2.7907731  -0.43851854 -2.31894949
  2.42070729 -3.08624787  0.72227744 -0.60556033 -1.84960403  2.67185688
 -1.84440446 -1.66512819 -2.52628495  2.15681431 -2.23373823  2.17570845
  2.22350391  1.7074363   2.36720842  2.88704114  1.62543908  1.68256223
 -1.93865296 -2.19145788  1.26272593]
Sat Nov 23 18:55:42 2024,1308,0.02514415145164914,[-3.00486278  2.34215245 -2.193937   -0.17085745  0.59862843 -2.78594855
  3.14373206  2.12468746  0.98735235 -0.97578258  0.65606829  0.92380141
  1.31383067 -1.93147655  1.052584    2.90830854 -0.36155973 -0.3726166
 -1.9131344   0.87602503  1.78504059  2.74250419 -1.13871106 -0.33670019
 -2.45139953 -2.19712287  3.13810994  2.45607843 -0.74666567 -2.83910105
  1.41749733 -0.00700496 -2.39861018  2.21461575  1.51595856 -0.61715055
  0.9287546  -1.53948759 -0.40138471  2.45635787 -0.03484509  0.71456367
  2.84223294  0.99502691  3.07047225  2.9843575   2.90026587 -2.82504722
  0.03829748 -0.31653396  1.44798643  2.7905563  -0.43830173 -2.31916629
  2.42049049 -3.08646467  0.72249424 -0.60534352 -1.84938723  2.67207368
 -1.84462126 -1.66534499 -2.52606815  2.1565975  -2.23395503  2.17592526
  2.2232871   1.7072195   2.36699161  2.88682433  1.62565588  1.68277904
 -1.93886977 -2.19124108  1.26294274]
Sat Nov 23 19:06:44 2024,1309,0.024731740727532616,[-3.00398887  2.34302635 -2.19306309 -0.17173136  0.59775453 -2.78682246
  3.14460596  2.12556136  0.98822625 -0.97490868  0.65519439  0.92467531
  1.31295677 -1.93235045  1.0534579   2.90918244 -0.36068583 -0.3734905
 -1.9140083   0.87689893  1.7859145   2.74337809 -1.13783715 -0.33757409
 -2.45052562 -2.19799678  3.13723604  2.45695234 -0.74579177 -2.83997495
  1.41662343 -0.00787886 -2.39948408  2.21548965  1.51683246 -0.61802446
  0.9278807  -1.53861369 -0.40051081  2.45723177 -0.03571899  0.71368977
  2.84310684  0.99415301  3.06959835  2.9834836   2.90113977 -2.82592113
  0.03742358 -0.31740786  1.44711253  2.7896824  -0.43917564 -2.32004019
  2.42136439 -3.08559077  0.72336815 -0.60621742 -1.85026113  2.67294758
 -1.84549516 -1.66621889 -2.52519424  2.1557236  -2.23482893  2.17505135
  2.224161    1.7080934   2.36786552  2.88769824  1.62478198  1.68190513
 -1.93799587 -2.19036718  1.26381664]
Sat Nov 23 19:17:38 2024,1310,0.02658260959771451,[-3.00781129  2.33920394 -2.18924068 -0.17555377  0.59393211 -2.79064487
  3.14078355  2.12173895  0.99204867 -0.9787311   0.65901681  0.92849773
  1.31677918 -1.93617287  1.05728031  2.91300486 -0.36450824 -0.37731292
 -1.91783072  0.88072135  1.78209208  2.73955568 -1.13401474 -0.34139651
 -2.45434804 -2.19417436  3.13341362  2.46077475 -0.74961418 -2.84379737
  1.41280102 -0.01170128 -2.39566167  2.21931206  1.52065487 -0.61420204
  0.92405828 -1.54243611 -0.40433322  2.45340935 -0.03954141  0.71751219
  2.83928442  0.99797542  3.07342077  2.97966119  2.89731736 -2.82209871
  0.03360116 -0.32123028  1.44329011  2.78585998 -0.44299805 -2.32386261
  2.42518681 -3.08176835  0.71954573 -0.60239501 -1.85408355  2.66912517
 -1.84167275 -1.67004131 -2.52901666  2.15954602 -2.23100652  2.17887377
  2.22798342  1.71191582  2.3640431   2.88387582  1.6286044   1.68572755
 -1.93417345 -2.18654476  1.25999422]
Sat Nov 23 19:28:35 2024,1311,0.024582510392554893,[-3.00759653  2.3394187  -2.18902592 -0.17576853  0.59371735 -2.79043011
  3.14056878  2.12152419  0.99226343 -0.97851633  0.65923157  0.92828297
  1.31656442 -1.9359581   1.05749508  2.91279009 -0.364723   -0.37709815
 -1.91761596  0.88093611  1.78230684  2.73934092 -1.13379997 -0.34161127
 -2.4545628  -2.19438912  3.13362839  2.46055999 -0.74939942 -2.84401213
  1.41301578 -0.01148652 -2.39587643  2.2190973   1.52044011 -0.6144168
  0.92384352 -1.54222134 -0.40411846  2.45362412 -0.03975617  0.71729742
  2.83906966  0.99776066  3.07320601  2.97944642  2.89710259 -2.82188395
  0.03381592 -0.32144504  1.44307535  2.78564522 -0.44321281 -2.32407737
  2.42497204 -3.08155359  0.71933097 -0.60218025 -1.85386879  2.66891041
 -1.84188751 -1.66982655 -2.5288019   2.15976078 -2.23079176  2.17908853
  2.22819818  1.71170106  2.36382834  2.88409058  1.62881916  1.68551279
 -1.93438821 -2.18633     1.25977946]
Sat Nov 23 19:39:35 2024,1312,0.025040062852416667,[-3.00692334  2.33874551 -2.18835273 -0.17644172  0.59304416 -2.7911033
  3.14124197  2.120851    0.99293662 -0.97918952  0.65855838  0.92895615
  1.31589123 -1.93528492  1.05816826  2.91211691 -0.36539619 -0.37642497
 -1.91828915  0.8816093   1.78163365  2.7400141  -1.13312679 -0.34228446
 -2.45523599 -2.19506231  3.1329552   2.4598868  -0.75007261 -2.84333894
  1.41368897 -0.01081333 -2.39654962  2.21842412  1.51976692 -0.61508999
  0.92451671 -1.54154816 -0.40479165  2.4542973  -0.04042936  0.71797061
  2.83839647  0.99843385  3.07387919  2.97877324  2.89777578 -2.82255714
  0.03314274 -0.32211823  1.44240216  2.78631841 -0.443886   -2.32340418
  2.42429886 -3.08222678  0.71865778 -0.60150706 -1.85454197  2.66823722
 -1.84121432 -1.67049974 -2.52947509  2.15908759 -2.23011857  2.17976172
  2.22752499  1.71237424  2.36315515  2.88341739  1.62949234  1.68618598
 -1.9350614  -2.18700319  1.25910627]
Sat Nov 23 19:50:31 2024,1313,0.024648517079355788,[-3.00642685  2.33824902 -2.18884922 -0.17594523  0.59354065 -2.79159979
  3.14074548  2.12035451  0.99343311 -0.97968601  0.65905487  0.92945265
  1.31638772 -1.93578141  1.05767177  2.9126134  -0.3648997  -0.37692146
 -1.91878564  0.88111281  1.78113716  2.74051059 -1.13362328 -0.34278095
 -2.4547395  -2.19456582  3.13345169  2.45939031 -0.74957612 -2.84383543
  1.41418546 -0.01130982 -2.39704611  2.21792762  1.51927043 -0.6145935
  0.92402022 -1.54105167 -0.40429516  2.45380081 -0.04092585  0.7184671
  2.83789998  0.99893034  3.0733827   2.97926973  2.89727929 -2.82305363
  0.03363923 -0.32162174  1.44289865  2.78582191 -0.44438249 -2.32390068
  2.42479535 -3.08173029  0.71816129 -0.60200355 -1.85404548  2.66873371
 -1.84171081 -1.67000324 -2.5289786   2.1585911  -2.22962208  2.18025821
  2.2270285   1.71187775  2.36365164  2.8829209   1.62899585  1.68568949
 -1.93555789 -2.18749968  1.25960276]
Sat Nov 23 20:01:25 2024,1314,0.02488680081298826,[-3.00852698  2.33614889 -2.19094935 -0.1738451   0.59564078 -2.78949966
  3.13864536  2.11825438  0.99553323 -0.98178614  0.661155    0.93155277
  1.31848785 -1.93368128  1.05557165  2.91051327 -0.36279957 -0.37482133
 -1.91668551  0.88321293  1.77903704  2.73841047 -1.1357234  -0.34488107
 -2.45683962 -2.19666594  3.13555182  2.45729019 -0.74747599 -2.84593556
  1.41628558 -0.0092097  -2.39914623  2.22002775  1.51717031 -0.61669362
  0.92192009 -1.54315179 -0.40639529  2.45170069 -0.04302597  0.71636698
  2.84000011  0.99683021  3.07548283  2.9771696   2.89517917 -2.82515375
  0.0315391  -0.32372186  1.44499878  2.78792204 -0.44648262 -2.32180055
  2.42689547 -3.08383041  0.72026142 -0.60410368 -1.85614561  2.66663358
 -1.84381094 -1.67210337 -2.53107872  2.16069123 -2.2317222   2.18235834
  2.22492838  1.70977763  2.36575177  2.88502103  1.62689573  1.68778961
 -1.93345776 -2.1895998   1.25750264]
Sat Nov 23 20:12:19 2024,1315,0.023540463821601465,[-3.00985069  2.3374726  -2.19227306 -0.17252139  0.59431707 -2.78817595
  3.13996907  2.11957809  0.99420952 -0.98310985  0.66247871  0.93022906
  1.31716414 -1.93235757  1.05689536  2.90918956 -0.36412329 -0.37349762
 -1.9153618   0.88188922  1.77771332  2.73973418 -1.13439969 -0.34355736
 -2.45816333 -2.19798966  3.1342281   2.45596648 -0.74615228 -2.84461185
  1.41760929 -0.00788599 -2.39782252  2.22135146  1.5158466  -0.61801734
  0.9232438  -1.5444755  -0.407719    2.4530244  -0.04434968  0.71504327
  2.84132382  0.99815393  3.07415912  2.97849331  2.89650288 -2.82383004
  0.03021539 -0.32239815  1.44367507  2.78659833 -0.44780633 -2.32047684
  2.42557176 -3.0825067   0.7189377  -0.60277996 -1.85746932  2.66530987
 -1.84248723 -1.67077966 -2.53240243  2.15936752 -2.23304591  2.18103463
  2.22625209  1.70845392  2.36442806  2.88369732  1.62821944  1.6864659
 -1.93213405 -2.19092352  1.25882635]
Sat Nov 23 20:23:16 2024,1316,0.02439914015687531,[-3.01000279  2.3376247  -2.19242516 -0.17267349  0.59416497 -2.78802385
  3.13981697  2.11973019  0.99436162 -0.98295775  0.66232661  0.93007696
  1.31701204 -1.93220547  1.05704746  2.90903746 -0.36397119 -0.37364972
 -1.9152097   0.88173712  1.77756123  2.73958208 -1.13424759 -0.34370946
 -2.45831543 -2.19783756  3.1343802   2.45611857 -0.74600018 -2.84445975
  1.4174572  -0.00803808 -2.39767042  2.22150356  1.5156945  -0.61816943
  0.9233959  -1.5443234  -0.4075669   2.4531765  -0.04419758  0.71489117
  2.84117172  0.99800183  3.07400702  2.97864541  2.89635078 -2.82367794
  0.03036749 -0.32255025  1.44382716  2.78675043 -0.44765423 -2.32062894
  2.42572386 -3.0826588   0.7190898  -0.60293206 -1.85762142  2.66546197
 -1.84263933 -1.67093176 -2.53255453  2.15921542 -2.23289381  2.18118673
  2.22640419  1.70830182  2.36427596  2.88384942  1.62806734  1.686618
 -1.93198195 -2.19107561  1.25897845]
Sat Nov 23 20:34:15 2024,1317,0.02381434382870761,[-3.0101563   2.33777822 -2.19257867 -0.172827    0.59431848 -2.78787034
  3.13966346  2.11957668  0.99420811 -0.98311126  0.6621731   0.92992345
  1.31716555 -1.93235898  1.05720097  2.90919097 -0.3641247  -0.37380323
 -1.91536321  0.88189063  1.77740771  2.73973559 -1.13440111 -0.34386297
 -2.45846895 -2.19768405  3.13453371  2.45596506 -0.74615369 -2.84461326
  1.41761071 -0.00788457 -2.39751691  2.22165707  1.51554099 -0.61801592
  0.92354941 -1.54447691 -0.40741339  2.45333001 -0.04404407  0.71504468
  2.84132523  0.99784832  3.07385351  2.97879892  2.89619727 -2.82352443
  0.030521   -0.32239674  1.44367365  2.78659692 -0.44780774 -2.32047543
  2.42587737 -3.08250529  0.71924331 -0.60277855 -1.85746791  2.66561548
 -1.84279284 -1.67077825 -2.53270804  2.15936893 -2.23304733  2.18103321
  2.22625068  1.70845533  2.36442947  2.88369591  1.62822085  1.68646449
 -1.93213547 -2.1909221   1.25882494]
Sat Nov 23 20:45:17 2024,1318,0.024833746264197546,[-3.01087133  2.33706319 -2.1932937  -0.17354203  0.59360345 -2.78715531
  3.14037848  2.12029171  0.99349308 -0.98382629  0.66145807  0.93063848
  1.31645052 -1.93164395  1.057916    2.90847594 -0.36340967 -0.37451826
 -1.91607824  0.8811756   1.77812274  2.73902056 -1.13368608 -0.34314795
 -2.45918397 -2.19839907  3.13524874  2.45668009 -0.74686872 -2.84532829
  1.41832573 -0.0085996  -2.39823194  2.2223721   1.51625601 -0.61730089
  0.92426444 -1.54376189 -0.40812841  2.45404504 -0.04332905  0.71575971
  2.84204026  0.99713329  3.07313848  2.9780839   2.89548224 -2.82423946
  0.03123603 -0.32168171  1.44438868  2.78731195 -0.44852277 -2.32119045
  2.42516234 -3.08322032  0.71995834 -0.60349358 -1.85818294  2.66490045
 -1.84350787 -1.67006322 -2.53199301  2.1586539  -2.2323323   2.18174824
  2.2269657   1.7077403   2.36371444  2.88298088  1.62750582  1.68574946
 -1.93142044 -2.19163713  1.25953996]
Sat Nov 23 20:56:14 2024,1319,0.023572576136116893,[-3.00752789  2.33371975 -2.18995026 -0.1701986   0.59026002 -2.78381188
  3.14372192  2.11694827  0.99683652 -0.98048286  0.65811464  0.93398191
  1.31979396 -1.93498739  1.05457256  2.91181938 -0.3667531  -0.37117483
 -1.91942167  0.88451904  1.78146617  2.73567713 -1.13034264 -0.33980451
 -2.45584054 -2.19505564  3.13190531  2.46002352 -0.74352529 -2.84867172
  1.42166917 -0.00525617 -2.39488851  2.21902867  1.51291258 -0.61395746
  0.92760787 -1.54041845 -0.41147185  2.4507016  -0.03998561  0.71910314
  2.84538369  1.00047672  3.07648191  2.97474046  2.89213881 -2.82758289
  0.03457946 -0.31833828  1.44773211  2.79065538 -0.44517934 -2.31784702
  2.42850578 -3.08656375  0.72330178 -0.60683701 -1.8548395   2.66155702
 -1.8468513  -1.66671979 -2.53533645  2.16199733 -2.23567573  2.18509167
  2.23030914  1.70439687  2.36037101  2.87963745  1.62416239  1.68240603
 -1.93476387 -2.19498056  1.2628834 ]
Sat Nov 23 21:07:06 2024,1320,0.0245945873568131,[-3.0075963   2.33378816 -2.19001867 -0.17026701  0.59032843 -2.78388029
  3.14365351  2.11687987  0.99676811 -0.98041445  0.65804623  0.9339135
  1.31986236 -1.9350558   1.05450416  2.91188779 -0.36682151 -0.37110642
 -1.91949008  0.88445063  1.78153458  2.73574554 -1.13041105 -0.3397361
 -2.45590895 -2.19512405  3.1318369   2.46009193 -0.7435937  -2.84860331
  1.42173758 -0.00532458 -2.39495692  2.21909708  1.51298099 -0.61402587
  0.92753946 -1.54048686 -0.41154026  2.45077001 -0.04005402  0.71903473
  2.8454521   1.00054513  3.07655032  2.97467205  2.89220721 -2.8276513
  0.03451105 -0.31826987  1.44780052  2.79072379 -0.44524775 -2.31791543
  2.42843737 -3.08649534  0.72323337 -0.60690542 -1.85477109  2.66148861
 -1.84678289 -1.6667882  -2.53526804  2.16206574 -2.23560732  2.18516008
  2.23024073  1.70446528  2.36043942  2.87956904  1.62409398  1.68233762
 -1.93483228 -2.19491215  1.26281499]
Sat Nov 23 21:18:01 2024,1321,0.025244561477849103,[-3.00671269  2.33290455 -2.19090229 -0.16938339  0.58944481 -2.7847639
  3.14453712  2.11776348  0.99588449 -0.97953083  0.65892984  0.93479712
  1.32074598 -1.93593941  1.05362054  2.91100417 -0.3659379  -0.37199003
 -1.91860647  0.88533424  1.7824182   2.73486193 -1.13129467 -0.33885249
 -2.45679256 -2.19424044  3.13272052  2.45920832 -0.74271008 -2.84948693
  1.42262119 -0.00444096 -2.3940733   2.21998069  1.5138646  -0.61314226
  0.92665585 -1.54137048 -0.41065664  2.45165363 -0.04093764  0.71991835
  2.84633572  1.00142874  3.07743393  2.97378844  2.8913236  -2.82676769
  0.03539467 -0.31915349  1.44691691  2.7916074  -0.44436413 -2.31703182
  2.42755375 -3.08561173  0.72234975 -0.60602181 -1.85565471  2.660605
 -1.84589928 -1.66767181 -2.53615165  2.16294936 -2.23649094  2.18427647
  2.22935711  1.70534889  2.3595558   2.87868542  1.62321037  1.681454
 -1.93394866 -2.19402854  1.2636986 ]
Sat Nov 23 21:29:00 2024,1322,0.02504166667679711,[-3.00564197  2.33397527 -2.18983157 -0.16831267  0.58837409 -2.78369318
  3.14560784  2.11669276  0.99481377 -0.98060155  0.65785912  0.9337264
  1.3218167  -1.93486869  1.05469126  2.90993345 -0.36700862 -0.37091931
 -1.91753575  0.88640496  1.78348892  2.73379121 -1.13236539 -0.33992321
 -2.45572184 -2.19531116  3.13379124  2.4581376  -0.74163936 -2.84841621
  1.42155047 -0.00337024 -2.39514402  2.22105141  1.51279388 -0.61207154
  0.92772657 -1.54029976 -0.41172736  2.45058291 -0.04200836  0.71884762
  2.84740644  1.00249946  3.07850465  2.97271772  2.89025288 -2.82783841
  0.03646539 -0.31808276  1.44798763  2.79053668 -0.44329341 -2.31810254
  2.42862447 -3.08668245  0.72127903 -0.60709253 -1.85672543  2.66167572
 -1.84482856 -1.66660109 -2.53722237  2.16187863 -2.23542021  2.18320575
  2.23042783  1.70427817  2.35848508  2.8776147   1.62428109  1.68252472
 -1.93501939 -2.19509926  1.26476932]
Sat Nov 23 21:39:58 2024,1323,0.02530544488089349,[-3.00452564e+00  2.33285894e+00 -2.18871524e+00 -1.69429003e-01
  5.89490422e-01 -2.78257685e+00  3.14449151e+00  2.11780909e+00
  9.93697442e-01 -9.81717885e-01  6.58975452e-01  9.32610066e-01
  1.32293303e+00 -1.93375236e+00  1.05580759e+00  2.91104978e+00
 -3.65892288e-01 -3.72035641e-01 -1.91865208e+00  8.87521293e-01
  1.78237259e+00  2.73267488e+00 -1.13124906e+00 -3.41039540e-01
 -2.45460551e+00 -2.19642749e+00  3.13267491e+00  2.45925393e+00
 -7.42755693e-01 -2.84953254e+00  1.42043414e+00 -2.25391288e-03
 -2.39626035e+00  2.21993508e+00  1.51391021e+00 -6.10955206e-01
  9.28842901e-01 -1.54141609e+00 -4.10611032e-01  2.44946658e+00
 -4.08920264e-02  7.17731295e-01  2.84629011e+00  1.00138313e+00
  3.07962098e+00  2.97160139e+00  2.88913655e+00 -2.82895474e+00
  3.53490565e-02 -3.19199095e-01  1.44687130e+00  2.78942035e+00
 -4.44409742e-01 -2.31698621e+00  2.42750814e+00 -3.08779878e+00
  7.20162701e-01 -6.05976198e-01 -1.85560910e+00  2.66279205e+00
 -1.84594489e+00 -1.66771742e+00 -2.53610604e+00  2.16299496e+00
 -2.23653654e+00  2.18208942e+00  2.22931150e+00  1.70539450e+00
  2.35736875e+00  2.87649837e+00  1.62539742e+00  1.68364105e+00
 -1.93390306e+00 -2.19621559e+00  1.26365299e+00]
Sat Nov 23 21:50:50 2024,1324,0.023996662760108967,[-3.00723429  2.33556759 -2.18600658 -0.17213766  0.59219907 -2.78528551
  3.14720016  2.12051774  0.99098879 -0.97900923  0.6616841   0.92990141
  1.32022438 -1.93104371  1.05309894  2.90834113 -0.36860094 -0.36932699
 -1.92136073  0.89022995  1.77966394  2.72996622 -1.12854041 -0.34374819
 -2.45731417 -2.19913614  3.12996625  2.45654528 -0.74004704 -2.85224119
  1.42314279 -0.00496257 -2.39896901  2.21722643  1.51120156 -0.61366386
  0.93155155 -1.53870743 -0.40790238  2.44675792 -0.03818337  0.72043995
  2.84899876  1.00409179  3.07691233  2.96889274  2.8918452  -2.82624609
  0.03805771 -0.31649044  1.44957995  2.7867117  -0.44170109 -2.31427755
  2.42479949 -3.09050743  0.72287135 -0.60326755 -1.85831775  2.6655007
 -1.84865354 -1.67042607 -2.53339739  2.16570362 -2.2392452   2.17938077
  2.23202016  1.70810315  2.3600774   2.87920702  1.62268877  1.68634971
 -1.93661171 -2.19350694  1.26094434]
Sat Nov 23 22:02:00 2024,1325,0.022389834429649515,[-3.0135077   2.32929418 -2.19228    -0.16586424  0.58592566 -2.79155892
  3.14092675  2.12679116  0.9972622  -0.97273582  0.66795752  0.93617483
  1.32649779 -1.92477029  1.05937235  2.90206771 -0.37487435 -0.36305357
 -1.92763414  0.88395653  1.78593735  2.72369281 -1.12226699 -0.35002161
 -2.46358758 -2.19286272  3.13623967  2.45027186 -0.74632046 -2.84596777
  1.42941621 -0.01123598 -2.40524242  2.21095301  1.50492815 -0.61993727
  0.93782497 -1.53243402 -0.41417579  2.45303134 -0.04445679  0.71416653
  2.84272534  1.0103652   3.08318575  2.97516615  2.89811862 -2.81997267
  0.04433112 -0.32276386  1.45585337  2.78043828 -0.4479745  -2.30800414
  2.43107291 -3.09678085  0.71659794 -0.60954096 -1.86459117  2.65922729
 -1.84238012 -1.66415266 -2.52712398  2.1594302  -2.23297178  2.18565418
  2.22574674  1.71437657  2.35380399  2.87293361  1.62896218  1.69262312
 -1.94288512 -2.18723352  1.26721775]
Sat Nov 23 22:13:00 2024,1326,0.021765792586999008,[-3.01069391  2.33210797 -2.1894662  -0.16867804  0.58311186 -2.78874512
  3.14374055  2.12960495  1.000076   -0.96992202  0.67077132  0.93898862
  1.32931159 -1.9219565   1.05655856  2.90488151 -0.37768815 -0.36586737
 -1.93044794  0.88677033  1.78312355  2.72087901 -1.11945319 -0.34720781
 -2.46077378 -2.19004893  3.13342587  2.44745807 -0.74350666 -2.84315398
  1.43223    -0.01404978 -2.40242862  2.21376681  1.50211435 -0.61712348
  0.93501117 -1.52962022 -0.41698959  2.45021754 -0.04164299  0.71135274
  2.83991155  1.013179    3.08599954  2.97797995  2.90093241 -2.82278647
  0.04714492 -0.31995006  1.45303957  2.77762449 -0.4507883  -2.30519034
  2.42825911 -3.09396705  0.71941174 -0.61235476 -1.86740496  2.65641349
 -1.83956633 -1.66696645 -2.52431018  2.162244   -2.23015799  2.18846798
  2.22856054  1.71156277  2.35099019  2.87011981  1.62614838  1.69543692
 -1.94007133 -2.19004732  1.27003155]
Sat Nov 23 22:24:08 2024,1327,0.02239131100333885,[-3.01188898  2.33330304 -2.18827113 -0.16987311  0.58191679 -2.7899402
  3.14254548  2.12840988  1.00127107 -0.96872695  0.66957624  0.94018369
  1.32811652 -1.92315157  1.05536349  2.90607658 -0.37649308 -0.36706244
 -1.92925287  0.8879654   1.78431862  2.72207408 -1.12064827 -0.34601274
 -2.45957871 -2.18885386  3.1322308   2.44626299 -0.74470173 -2.84195891
  1.43342507 -0.01285471 -2.40123355  2.21257174  1.50330942 -0.61592841
  0.9338161  -1.52842515 -0.41579452  2.44902247 -0.04044792  0.71254781
  2.84110662  1.01437407  3.08719461  2.97917502  2.90212748 -2.82398154
  0.04594985 -0.32114513  1.45423464  2.77642942 -0.45198337 -2.30638541
  2.42945418 -3.09277198  0.71821666 -0.61354983 -1.86620989  2.65521842
 -1.83837126 -1.66577138 -2.52550525  2.16343907 -2.22896292  2.18727291
  2.22736547  1.71275784  2.35218526  2.87131488  1.62495331  1.69663199
 -1.9412664  -2.19124239  1.26883648]
Sat Nov 23 22:35:10 2024,1328,0.021203254753353884,[-3.0120352   2.33344926 -2.18812491 -0.17001933  0.58177057 -2.78979398
  3.14239926  2.12826366  1.00112485 -0.96858073  0.66972246  0.94032991
  1.3279703  -1.92329779  1.05550971  2.9062228  -0.3766393  -0.36691622
 -1.92910665  0.88811162  1.78417241  2.7222203  -1.12079448 -0.34615896
 -2.45972493 -2.18900008  3.13208458  2.44611678 -0.74455551 -2.84181269
  1.43357129 -0.01300092 -2.40137977  2.21242552  1.5031632  -0.61578219
  0.93366988 -1.52827893 -0.41594074  2.44916869 -0.04059414  0.71240159
  2.8409604   1.01422785  3.08734083  2.9790288   2.90198126 -2.82383532
  0.04609607 -0.32099891  1.45438086  2.7762832  -0.45183715 -2.3062392
  2.4296004  -3.09262576  0.71807045 -0.61340361 -1.86635611  2.6550722
 -1.83822504 -1.6659176  -2.52535903  2.16358529 -2.2288167   2.18741913
  2.22751169  1.71290406  2.35233148  2.87116866  1.62480709  1.69648577
 -1.94112018 -2.19109617  1.26869026]
Sat Nov 23 22:46:05 2024,1329,0.023191997482293104,[-3.01083782  2.33464664 -2.18692754 -0.16882195  0.5805732  -2.7885966
  3.14359663  2.12946104  1.00232223 -0.96738336  0.67091984  0.93913254
  1.32916767 -1.92449516  1.05670708  2.90502543 -0.37544192 -0.36571885
 -1.92790928  0.88930899  1.78297503  2.72341768 -1.11959711 -0.34735633
 -2.46092231 -2.19019745  3.13328196  2.44731415 -0.74575289 -2.84301006
