JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0gg6wbehmr0008g8rn0,d0gg6esfbx30008w2hg0,Completed,,2025-05-11T20:07:14.012Z,2025-05-11T20:37:40.639Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0gg6rkehmr0008g8rkg,d0gg6esfbx30008w2hg0,Completed,,2025-05-11T20:06:58.730Z,2025-05-11T20:36:40.182Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0gg6mjehmr0008g8rk0,d0gg6esfbx30008w2hg0,Completed,,2025-05-11T20:06:42.295Z,2025-05-11T20:35:39.845Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0gg6jt8jzxg008mfwhg,d0gg6esfbx30008w2hg0,Completed,,2025-05-11T20:06:35.871Z,2025-05-11T20:34:39.698Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
