JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0gd144crrag008bs54g,d0gd0vbcrrag008bs4z0,Completed,,2025-05-11T16:30:08.810Z,2025-05-11T17:02:52.820Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0gd10ccrrag008bs520,d0gd0vbcrrag008bs4z0,Completed,,2025-05-11T16:29:53.412Z,2025-05-11T17:01:51.996Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0gd0yvehmr0008g7st0,d0gd0vbcrrag008bs4z0,Completed,,2025-05-11T16:29:47.839Z,2025-05-11T17:00:51.900Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
