Time,Iteration,Cost,Parameters
Sat Aug 24 22:03:59 2024,49,0.11464393204778309,[-2.86897536  2.24382658 -2.11888676 -0.12424672  0.55358909]
Sat Aug 24 22:04:49 2024,50,0.11343383109791486,[-2.86925629  2.24410752 -2.11860582 -0.12396579  0.55387003]
Sat Aug 24 22:05:39 2024,51,0.11783642948314348,[-2.86915326  2.24400448 -2.11870886 -0.12386275  0.55376699]
Sat Aug 24 22:06:28 2024,52,0.11131638813215236,[-2.86812137  2.2429726  -2.11767697 -0.12489464  0.55479888]
Sat Aug 24 22:07:18 2024,53,0.11784151754399934,[-2.86693986  2.24415411 -2.11885848 -0.12607615  0.55598039]
Sat Aug 24 22:08:08 2024,54,0.11120284027106227,[-2.86701972  2.24407425 -2.11877862 -0.12599629  0.55606025]
Sat Aug 24 22:08:58 2024,55,0.11538356970942253,[-2.86638866  2.24344318 -2.11940969 -0.12536522  0.55669132]
Sat Aug 24 22:09:48 2024,56,0.11664250483117547,[-2.8662714   2.24356045 -2.11929242 -0.12548249  0.55680858]
Sat Aug 24 22:10:38 2024,57,0.11483852326150008,[-2.86574483  2.24408701 -2.11981898 -0.12495593  0.55628202]
Sat Aug 24 22:11:28 2024,58,0.11308243377900398,[-2.86537657  2.24371874 -2.11945071 -0.12458766  0.55591375]
Sat Aug 24 22:12:18 2024,59,0.11864283214654057,[-2.86483932  2.24425599 -2.11891347 -0.1251249   0.5553765 ]
Sat Aug 24 22:13:08 2024,60,0.11618444469622376,[-2.8639272   2.2451681  -2.11982558 -0.12603702  0.55446438]
Sat Aug 24 22:13:57 2024,61,0.11658143861413015,[-2.86331594  2.24577936 -2.11921433 -0.12664828  0.55507564]
Sat Aug 24 22:14:47 2024,62,0.11463835156305852,[-2.8635733   2.24603672 -2.11895697 -0.12690564  0.55481828]
Sat Aug 24 22:15:37 2024,63,0.11619207122455634,[-2.86291412  2.24537753 -2.11829778 -0.12624645  0.5541591 ]
Sat Aug 24 22:16:27 2024,64,0.11324690663369705,[-2.8626285   2.24566314 -2.11801217 -0.12653206  0.55387348]
Sat Aug 24 22:17:17 2024,65,0.11734031511048648,[-2.86187366  2.2449083  -2.11725732 -0.12728691  0.55462833]
Sat Aug 24 22:18:07 2024,66,0.11470657430090138,[-2.86124256  2.2442772  -2.11788843 -0.12665581  0.55525943]
Sat Aug 24 22:18:57 2024,67,0.1124825512482672,[-2.86072924  2.24376388 -2.11737512 -0.1261425   0.55474612]
Sat Aug 24 22:19:46 2024,68,0.11532910269286667,[-2.86122891  2.24326421 -2.11787479 -0.12564283  0.55524579]
Sat Aug 24 22:20:36 2024,69,0.11670786370469599,[-2.86071386  2.24274916 -2.11838984 -0.12512777  0.55473074]
Sat Aug 24 22:21:25 2024,70,0.11276140924320356,[-2.85992455  2.24195985 -2.11917915 -0.12433846  0.55552005]
Sat Aug 24 22:22:14 2024,71,0.11628297058118198,[-2.85893427  2.24096957 -2.11818886 -0.12532875  0.55452976]
Sat Aug 24 22:23:04 2024,72,0.11528742166692257,[-2.85890971  2.24099412 -2.11816431 -0.1253533   0.55455431]
Sat Aug 24 22:23:53 2024,73,0.11674477712957985,[-2.85852658  2.24137725 -2.11778118 -0.12573643  0.55417119]
Sat Aug 24 22:24:43 2024,74,0.11649438131720981,[-2.85771742  2.24218641 -2.11697201 -0.1265456   0.55336202]
Sat Aug 24 22:25:32 2024,75,0.11528453090285198,[-2.85743434  2.24190334 -2.11668894 -0.12626253  0.55364509]
Sat Aug 24 22:26:22 2024,76,0.11579624880316511,[-2.85669637  2.24264132 -2.11742692 -0.1270005   0.55438307]
Sat Aug 24 22:27:11 2024,77,0.11549885913756588,[-2.85547745  2.24386023 -2.11620801 -0.12578159  0.55316416]
Sat Aug 24 22:28:00 2024,78,0.1166703798644682,[-2.85453868  2.244799   -2.11714677 -0.12672036  0.55222539]
Sat Aug 24 22:28:50 2024,79,0.11713913266227859,[-2.85474     2.24500032 -2.11734809 -0.12692168  0.55242671]
Sat Aug 24 22:29:39 2024,80,0.1163133818330955,[-2.85357527  2.24616505 -2.11851282 -0.12808641  0.55359143]
Sat Aug 24 22:30:29 2024,81,0.11459416656945992,[-2.85358474  2.24617452 -2.11852229 -0.12807694  0.55358196]
Sat Aug 24 22:31:18 2024,82,0.1139094060657548,[-2.85309826  2.246661   -2.11803581 -0.12856342  0.55406845]
Sat Aug 24 22:32:08 2024,83,0.11392655455130539,[-2.85228019  2.24747907 -2.11721774 -0.12774535  0.55325038]
Sat Aug 24 22:32:57 2024,84,0.11625900403478921,[-2.85226872  2.24749054 -2.11722921 -0.12773388  0.55323891]
Sat Aug 24 22:33:46 2024,85,0.11166242528508293,[-2.85124924  2.24647106 -2.11620973 -0.1267144   0.55221942]
Sat Aug 24 22:34:36 2024,86,0.11684222852165133,[-2.85049618  2.245718   -2.11696278 -0.12596134  0.55297248]
Sat Aug 24 22:35:26 2024,87,0.11435064751378814,[-2.85052094  2.24574276 -2.11698754 -0.12593658  0.55299724]
Sat Aug 24 22:36:16 2024,88,0.11527389544070538,[-2.85010675  2.24615695 -2.11740173 -0.12635077  0.55258305]
Sat Aug 24 22:37:05 2024,89,0.11715915433520258,[-2.84961182  2.24665188 -2.11789666 -0.1268457   0.55208812]
Sat Aug 24 22:37:54 2024,90,0.1151224041041079,[-2.84940824  2.24685546 -2.11769308 -0.12664212  0.5522917 ]
Sat Aug 24 22:38:44 2024,91,0.11628801328145395,[-2.84931666  2.24694704 -2.11778466 -0.12655054  0.55220012]
Sat Aug 24 22:39:33 2024,92,0.11425138206915239,[-2.84917349  2.2470902  -2.1176415  -0.12640737  0.55205695]
Sat Aug 24 22:40:23 2024,93,0.118774472169168,[-2.84888793  2.24680464 -2.11792706 -0.12612181  0.55177139]
Sat Aug 24 22:41:12 2024,94,0.11581916110804495,[-2.84702789  2.2449446  -2.11606702 -0.12798184  0.54991135]
Sat Aug 24 22:42:01 2024,95,0.11666913214041044,[-2.84587024  2.24610225 -2.11490937 -0.1291395   0.5487537 ]
Sat Aug 24 22:42:51 2024,96,0.11302669495675952,[-2.84548537  2.24571739 -2.11529424 -0.12952436  0.54836883]
Sat Aug 24 22:43:40 2024,97,0.11232369754769266,[-2.84614043  2.24506233 -2.11463918 -0.1288693   0.54771378]
Sat Aug 24 22:44:30 2024,98,0.11573788005675101,[-2.84547433  2.24572843 -2.11397308 -0.1295354   0.54704767]
Sat Aug 24 22:45:19 2024,99,0.11374817595898701,[-2.84498714  2.24621562 -2.11348589 -0.13002259  0.54753486]
Sat Aug 24 22:46:09 2024,100,0.1160744450251687,[-2.84481461  2.24604308 -2.11365843 -0.13019513  0.54736233]
Sat Aug 24 22:46:58 2024,101,0.11005305312628993,[-2.84411406  2.24534254 -2.11435897 -0.13089567  0.54806287]
Sat Aug 24 22:47:48 2024,102,0.1152798373958142,[-2.84464026  2.24586873 -2.11488517 -0.13142187  0.54858906]
Sat Aug 24 22:48:38 2024,103,0.11337854409449029,[-2.84372164  2.24678734 -2.11580378 -0.13234048  0.54950768]
Sat Aug 24 22:49:27 2024,104,0.11387623325935473,[-2.84386787  2.24693357 -2.11595    -0.13219425  0.5496539 ]
Sat Aug 24 22:50:17 2024,105,0.1189833935701253,[-2.84387577  2.24692566 -2.11595791 -0.13220216  0.54966181]
Sat Aug 24 22:51:06 2024,106,0.11715099097065333,[-2.84327078  2.24632067 -2.1165629  -0.13159717  0.5502668 ]
Sat Aug 24 22:51:56 2024,107,0.11429942361870936,[-2.84334239  2.24624906 -2.11663451 -0.13166878  0.55019519]
Sat Aug 24 22:52:46 2024,108,0.1119527989113995,[-2.84315288  2.24605954 -2.116445   -0.13185829  0.55000568]
Sat Aug 24 22:53:35 2024,109,0.11625285484062153,[-2.84316345  2.24604898 -2.11645556 -0.13186886  0.54999511]
Sat Aug 24 22:54:25 2024,110,0.11742621716191703,[-2.84268147  2.245567   -2.11693754 -0.13138688  0.54951313]
Sat Aug 24 22:55:14 2024,111,0.11593049898011171,[-2.84256982  2.24567865 -2.11682589 -0.13149854  0.54940148]
Sat Aug 24 22:56:03 2024,112,0.11210830357260491,[-2.84242551  2.24553435 -2.11697019 -0.13135423  0.54925717]
Sat Aug 24 22:56:53 2024,113,0.11344411971547701,[-2.84171109  2.24624877 -2.11625577 -0.13206866  0.5499716 ]
Sat Aug 24 22:57:42 2024,114,0.11262873906184524,[-2.84213793  2.24582193 -2.11668261 -0.1324955   0.54954475]
Sat Aug 24 22:58:32 2024,115,0.11224012081427097,[-2.8423108   2.24564906 -2.11685548 -0.13266836  0.54971762]
Sat Aug 24 22:59:21 2024,116,0.11745957983446198,[-2.84164243  2.24631743 -2.11752385 -0.132       0.55038599]
Sat Aug 24 23:00:10 2024,117,0.1122685823566928,[-2.84146084  2.24613584 -2.11770544 -0.13218159  0.5502044 ]
Sat Aug 24 23:01:00 2024,118,0.11399856779625464,[-2.8411227   2.24647397 -2.11736731 -0.13251972  0.55054253]
Sat Aug 24 23:01:49 2024,119,0.11919877659196251,[-2.8406971   2.24604837 -2.1169417  -0.13294532  0.55011692]
Sat Aug 24 23:02:39 2024,120,0.11143824864650846,[-2.84030518  2.24565645 -2.11733362 -0.1325534   0.55050884]
Sat Aug 24 23:03:28 2024,121,0.1125496577236935,[-2.83967939  2.24503066 -2.1179594  -0.13317918  0.54988306]
Sat Aug 24 23:04:17 2024,122,0.11517066719071609,[-2.83921991  2.24549015 -2.11841889 -0.1327197   0.55034255]
Sat Aug 24 23:05:07 2024,123,0.11819025520550591,[-2.83882405  2.24509428 -2.11802302 -0.13232383  0.54994668]
Sat Aug 24 23:05:56 2024,124,0.1126889813868344,[-2.83836702  2.24463726 -2.11848005 -0.13278086  0.54948966]
Sat Aug 24 23:06:46 2024,125,0.11512009324514111,[-2.83811782  2.24488646 -2.11872925 -0.13303005  0.54973885]
Sat Aug 24 23:07:35 2024,126,0.12018608528288714,[-2.83801796  2.24478659 -2.11862938 -0.13293019  0.54983872]
Sat Aug 24 23:08:25 2024,127,0.11755409794888064,[-2.83766976  2.24513479 -2.11828118 -0.13327838  0.54949052]
Sat Aug 24 23:09:14 2024,128,0.1159378284204607,[-2.83747163  2.24533292 -2.11808305 -0.13308025  0.54929239]
Sat Aug 24 23:10:04 2024,129,0.11682358126963088,[-2.83721348  2.24559107 -2.1178249  -0.13333841  0.54903424]
Sat Aug 24 23:10:54 2024,130,0.12078589175590396,[-2.83661987  2.24499746 -2.11841851 -0.1327448   0.54844063]
Sat Aug 24 23:11:43 2024,131,0.11208082719725296,[-2.83578832  2.24416591 -2.11925006 -0.13357635  0.54927219]
Sat Aug 24 23:12:32 2024,132,0.11619246234039844,[-2.83540584  2.24454839 -2.11963254 -0.13395883  0.54888971]
Sat Aug 24 23:13:22 2024,133,0.11271211810046367,[-2.83552644  2.24466899 -2.11975314 -0.13383823  0.54901031]
Sat Aug 24 23:14:11 2024,134,0.11510154894639345,[-2.83507131  2.24512412 -2.119298   -0.13338309  0.54855517]
Sat Aug 24 23:15:01 2024,135,0.11640340209947732,[-2.83477076  2.24482358 -2.11959854 -0.13368364  0.54825463]
Sat Aug 24 23:15:51 2024,136,0.11501655543009459,[-2.83472046  2.24487388 -2.11954824 -0.13363333  0.54820432]
Sat Aug 24 23:16:40 2024,137,0.11507169876348369,[-2.83462189  2.24497245 -2.11944967 -0.13353476  0.54830289]
Sat Aug 24 23:17:29 2024,138,0.11624231739610287,[-2.83484439  2.24519495 -2.11922718 -0.13375726  0.54852539]
Sat Aug 24 23:18:19 2024,139,0.11839725006920847,[-2.83488887  2.24523943 -2.11927166 -0.13380175  0.5484809 ]
Sat Aug 24 23:19:08 2024,140,0.1158555170604618,[-2.83442428  2.24570402 -2.11880707 -0.13333716  0.54801631]
Sat Aug 24 23:19:57 2024,141,0.11168936364007648,[-2.83380999  2.24508973 -2.11819277 -0.13272286  0.54740202]
Sat Aug 24 23:20:47 2024,142,0.11626132378511653,[-2.8335124   2.24479214 -2.11849037 -0.13242527  0.54710443]
Sat Aug 24 23:21:36 2024,143,0.11751873591702783,[-2.83313201  2.24517253 -2.11810998 -0.13280566  0.54672404]
Sat Aug 24 23:22:25 2024,144,0.11483630294397315,[-2.8336562   2.24464834 -2.11758579 -0.13228147  0.54724823]
Sat Aug 24 23:23:15 2024,145,0.1130318629547893,[-2.83317357  2.24513096 -2.11806841 -0.13276409  0.5467656 ]
Sat Aug 24 23:24:04 2024,146,0.11135043116527918,[-2.83294096  2.24489835 -2.1178358  -0.13299671  0.54699822]
Sat Aug 24 23:24:54 2024,147,0.11646373350999589,[-2.83328768  2.24524506 -2.11818251 -0.13264999  0.5466515 ]
Sat Aug 24 23:25:43 2024,148,0.1148065807981253,[-2.83332962  2.24528701 -2.11822446 -0.13269194  0.54669345]
Sat Aug 24 23:26:33 2024,149,0.11318744915016962,[-2.83297689  2.24563974 -2.11857719 -0.13304467  0.54704618]
Sat Aug 24 23:27:22 2024,150,0.11668377879078233,[-2.83278097  2.24583566 -2.11877311 -0.13324059  0.54685025]
Sat Aug 24 23:28:12 2024,151,0.11375999777009614,[-2.83258073  2.24563542 -2.11857287 -0.13304035  0.54665001]
Sat Aug 24 23:29:01 2024,152,0.11547406254780622,[-2.83231022  2.24590593 -2.11884338 -0.13276984  0.5463795 ]
Sat Aug 24 23:29:51 2024,153,0.1158028311073989,[-2.83154318  2.24513889 -2.11807634 -0.13353688  0.54561246]
Sat Aug 24 23:30:40 2024,154,0.11683151689610427,[-2.83161187  2.24520759 -2.11814504 -0.13346818  0.54568116]
Sat Aug 24 23:31:29 2024,155,0.1166445399924807,[-2.83137427  2.24496998 -2.11838264 -0.13370578  0.54591876]
Sat Aug 24 23:32:19 2024,156,0.11867981885834722,[-2.8312506   2.24509366 -2.11850631 -0.13382946  0.54604243]
Sat Aug 24 23:33:08 2024,157,0.11437568260326693,[-2.8309447   2.24539955 -2.11881221 -0.13413535  0.54634833]
Sat Aug 24 23:33:58 2024,158,0.11598212036352307,[-2.83032298  2.24477783 -2.11819049 -0.13475707  0.54697005]
Sat Aug 24 23:34:47 2024,159,0.11653865054058253,[-2.83061155  2.24448927 -2.11790192 -0.1344685   0.54725862]
Sat Aug 24 23:35:36 2024,160,0.11567013017118227,[-2.83018119  2.24491962 -2.11747157 -0.13403814  0.54768897]
Sat Aug 24 23:36:26 2024,161,0.1140211295871464,[-2.82955371  2.24554711 -2.11684408 -0.13466563  0.54706149]
