Time,Iteration,Cost,Parameters
Sun Aug 25 00:16:35 2024,28,0.4273466005359734,[-2.77907726  2.25204369 -2.1297446  -0.12537343  0.55517208 -2.75245684
  3.06854104  2.16957884  1.17226131 -1.05565231]
Sun Aug 25 00:18:24 2024,29,0.4270964877247542,[-2.77474809  2.25637285 -2.12541543 -0.1297026   0.55084291 -2.74812767
  3.06421188  2.173908    1.17659048 -1.05998148]
Sun Aug 25 00:20:13 2024,30,0.42842407653865705,[-2.77020177  2.25182653 -2.12086911 -0.12515627  0.54629659 -2.74358135
  3.0687582   2.16936168  1.1811368  -1.05543515]
Sun Aug 25 00:22:01 2024,31,0.4279317209675059,[-2.76504986  2.24667462 -2.1157172  -0.13030819  0.54114468 -2.74873327
  3.07391011  2.17451359  1.18628872 -1.06058707]
Sun Aug 25 00:23:50 2024,32,0.4204631218104632,[-2.75865076  2.25307373 -2.10931809 -0.13670729  0.53474557 -2.75513237
  3.08030921  2.1809127   1.19268782 -1.06698617]
Sun Aug 25 00:25:38 2024,33,0.4228569569544229,[-2.75229218  2.24671515 -2.11567667 -0.13034871  0.54110415 -2.74877379
  3.08666779  2.18727128  1.18632924 -1.06062759]
Sun Aug 25 00:27:25 2024,34,0.4227575186349098,[-2.74625495  2.25275237 -2.1217139  -0.12431149  0.53506693 -2.74273656
  3.08063057  2.1933085   1.19236647 -1.06666482]
Sun Aug 25 00:29:12 2024,35,0.4204350269148955,[-2.7404946   2.25851272 -2.12747425 -0.13007184  0.52930658 -2.74849691
  3.08639092  2.19906886  1.19812682 -1.07242517]
Sun Aug 25 00:31:00 2024,36,0.42034134008819246,[-2.73580995  2.25382808 -2.1321589  -0.12538719  0.53399122 -2.74381227
  3.09107557  2.2037535   1.19344217 -1.07710982]
Sun Aug 25 00:32:47 2024,37,0.4234051073451053,[-2.73019988  2.24821801 -2.13776897 -0.11977712  0.53960129 -2.74942234
  3.09668564  2.20936357  1.19905224 -1.08271989]
Sun Aug 25 00:34:34 2024,38,0.41737633219070697,[-2.72416434  2.25425355 -2.13173342 -0.11374157  0.53356575 -2.75545788
  3.09065009  2.20332803  1.20508779 -1.07668434]
Sun Aug 25 00:36:19 2024,39,0.4180673810645639,[-2.71822624  2.26019165 -2.13767152 -0.11967968  0.53950385 -2.76139598
  3.08471199  2.20926613  1.19914968 -1.07074624]
Sun Aug 25 00:38:06 2024,40,0.420595387366708,[-2.71141938  2.25338479 -2.13086467 -0.11287282  0.54631071 -2.75458913
  3.07790513  2.20245927  1.20595654 -1.06393938]
Sun Aug 25 00:39:53 2024,41,0.413083670567046,[-2.70575902  2.25904515 -2.12520431 -0.11853318  0.55197107 -2.76024949
  3.07224477  2.20811963  1.2116169  -1.05827903]
Sun Aug 25 00:41:40 2024,42,0.4188068294203038,[-2.69964896  2.26515521 -2.11909425 -0.11242312  0.54586101 -2.76635954
  3.06613472  2.21422969  1.21772696 -1.06438908]
Sun Aug 25 00:43:27 2024,43,0.40843559373049826,[-2.69355806  2.27124611 -2.12518515 -0.10633222  0.55195191 -2.76026864
  3.06004381  2.20813879  1.21163605 -1.05829818]
Sun Aug 25 00:45:14 2024,44,0.41200631169302615,[-2.68587904  2.27892513 -2.11750614 -0.11401123  0.5442729  -2.76794765
  3.0523648   2.2158178   1.20395704 -1.06597719]
Sun Aug 25 00:47:01 2024,45,0.41406773578052164,[-2.67914168  2.27218776 -2.12424351 -0.1207486   0.55101027 -2.77468502
  3.05910217  2.22255517  1.21069441 -1.05923982]
Sun Aug 25 00:48:48 2024,46,0.4097418720045488,[-2.67309764  2.26614372 -2.11819947 -0.12679263  0.54496623 -2.76864098
  3.0651462   2.2285992   1.21673845 -1.05319579]
Sun Aug 25 00:50:36 2024,47,0.40832855846276733,[-2.66642201  2.25946809 -2.1248751  -0.13346827  0.55164187 -2.77531662
  3.05847057  2.22192357  1.22341408 -1.05987142]
Sun Aug 25 00:52:23 2024,48,0.4095527238163509,[-2.65909494  2.26679516 -2.11754804 -0.14079533  0.55896893 -2.76798955
  3.0511435   2.2145965   1.23074115 -1.05254435]
Sun Aug 25 00:54:13 2024,49,0.4118727471288183,[-2.65213367  2.25983389 -2.11058676 -0.13383406  0.55200766 -2.77495082
  3.04418223  2.20763523  1.23770242 -1.05950562]
Sun Aug 25 00:55:59 2024,50,0.4070959266647343,[-2.6445942   2.25229442 -2.1030473  -0.1262946   0.5444682  -2.78249029
  3.03664276  2.2151747   1.24524189 -1.06704509]
Sun Aug 25 00:57:46 2024,51,0.4057959207271632,[-2.63723243  2.25965619 -2.09568553 -0.11893282  0.55182997 -2.78985206
  3.04400454  2.20781292  1.23788011 -1.05968332]
Sun Aug 25 00:59:32 2024,52,0.4058789852170302,[-2.63130237  2.25372613 -2.10161558 -0.11300277  0.55776002 -2.79578211
  3.03807448  2.21374298  1.23195006 -1.06561338]
Sun Aug 25 01:01:18 2024,53,0.40489238762226926,[-2.62486341  2.26016509 -2.09517662 -0.10656381  0.56419898 -2.80222107
  3.04451344  2.22018194  1.23838902 -1.05917442]
Sun Aug 25 01:03:05 2024,54,0.4026372045202575,[-2.61850879  2.26651972 -2.10153125 -0.10020919  0.55784436 -2.79586645
  3.03815881  2.22653656  1.23203439 -1.06552904]
Sun Aug 25 01:04:52 2024,55,0.40079090358999075,[-2.61073955  2.25875048 -2.09376201 -0.09243995  0.55007512 -2.80363569
  3.04592805  2.2343058   1.22426516 -1.07329828]
Sun Aug 25 01:06:39 2024,56,0.397408141324122,[-2.6043819   2.26510813 -2.10011966 -0.0860823   0.55643277 -2.79727804
  3.0522857   2.22794815  1.21790751 -1.07965593]
Sun Aug 25 01:08:26 2024,57,0.3953479795466561,[-2.59614281  2.25686904 -2.09188057 -0.07784321  0.56467186 -2.78903894
  3.04404661  2.23618724  1.2261466  -1.08789502]
Sun Aug 25 01:10:12 2024,58,0.40035297551319116,[-2.58825479  2.24898101 -2.08399254 -0.06995518  0.57255989 -2.79692697
  3.03615858  2.24407527  1.23403462 -1.09578304]
Sun Aug 25 01:11:58 2024,59,0.394611668146099,[-2.58080815  2.24153438 -2.07654591 -0.07740182  0.58000652 -2.78948034
  3.02871195  2.2515219   1.24148126 -1.08833641]
Sun Aug 25 01:13:44 2024,60,0.3915444659655548,[-2.5738444   2.23457062 -2.06958216 -0.08436557  0.58697027 -2.78251658
  3.02174819  2.24455815  1.24844501 -1.09530016]
Sun Aug 25 01:15:30 2024,61,0.39212467410387897,[-2.56579419  2.24262083 -2.06153195 -0.07631536  0.59502048 -2.77446638
  3.01369799  2.23650794  1.2403948  -1.08724995]
Sun Aug 25 01:17:15 2024,62,0.3926083496457744,[-2.55820746  2.2350341  -2.06911868 -0.06872863  0.58743375 -2.78205311
  3.00611126  2.22892121  1.24798153 -1.07966322]
Sun Aug 25 01:19:01 2024,63,0.3927399752799445,[-2.55118456  2.242057   -2.07614158 -0.07575153  0.58041085 -2.78907601
  2.99908836  2.23594412  1.25500443 -1.07264032]
Sun Aug 25 01:20:47 2024,64,0.39003999357720914,[-2.54333354  2.24990802 -2.0839926  -0.08360255  0.57255983 -2.78122499
  3.00693937  2.2280931   1.24715341 -1.08049134]
Sun Aug 25 01:22:36 2024,65,0.3900376707373392,[-2.53499221  2.25824936 -2.09233394 -0.09194389  0.56421849 -2.77288365
  2.99859804  2.23643443  1.23881208 -1.08883268]
Sun Aug 25 01:24:23 2024,66,0.38496217779493797,[-2.52779562  2.25105278 -2.09953052 -0.09914047  0.55702191 -2.76568707
  2.99140145  2.22923785  1.23161549 -1.09602926]
Sun Aug 25 01:26:10 2024,67,0.3783217022401176,[-2.52022107  2.25862733 -2.09195596 -0.10671503  0.54944735 -2.75811251
  2.99897601  2.22166329  1.22404094 -1.0884547 ]
Sun Aug 25 01:27:56 2024,68,0.38322479001218285,[-2.51274412  2.26610428 -2.08447902 -0.09923808  0.5569243  -2.76558946
  2.99149907  2.22914024  1.21656399 -1.08097776]
Sun Aug 25 01:29:42 2024,69,0.37957026351816703,[-2.50488326  2.25824341 -2.07661815 -0.09137722  0.56478516 -2.77345032
  2.99935993  2.2370011   1.22442486 -1.07311689]
Sun Aug 25 01:31:28 2024,70,0.37811656561458046,[-2.49666991  2.26645676 -2.0848315  -0.09959056  0.55657182 -2.78166367
  2.99114659  2.22878776  1.23263821 -1.06490355]
Sun Aug 25 01:33:14 2024,71,0.3746241130370304,[-2.48966985  2.2594567  -2.07783144 -0.0925905   0.54957176 -2.78866373
  2.99814665  2.2217877   1.22563814 -1.05790349]
Sun Aug 25 01:35:00 2024,72,0.37474785902685537,[-2.48182536  2.26730119 -2.06998695 -0.10043499  0.55741625 -2.78081924
  2.99030216  2.22963219  1.23348264 -1.050059  ]
Sun Aug 25 01:36:46 2024,73,0.36579964665864834,[-2.4747376   2.27438894 -2.06289919 -0.10752275  0.55032849 -2.77373148
  2.99738992  2.23671994  1.22639488 -1.04297124]
Sun Aug 25 01:38:32 2024,74,0.36811034472553417,[-2.46584302  2.26549436 -2.05400461 -0.09862817  0.55922307 -2.7648369
  3.0062845   2.24561453  1.2175003  -1.03407666]
Sun Aug 25 01:40:17 2024,75,0.3696265222032262,[-2.45832126  2.25797261 -2.04648285 -0.10614993  0.56674483 -2.75731514
  3.01380625  2.23809277  1.20997854 -1.04159841]
Sun Aug 25 01:42:03 2024,76,0.3649288120218892,[-2.44969219  2.26660168 -2.05511192 -0.114779    0.55811575 -2.76594422
  3.00517718  2.24672184  1.21860761 -1.05022749]
Sun Aug 25 01:43:48 2024,77,0.3661734706054049,[-2.44160333  2.25851282 -2.04702306 -0.10669014  0.55002689 -2.75785536
  3.01326604  2.2548107   1.21051875 -1.05831635]
Sun Aug 25 01:45:34 2024,78,0.3652710689708313,[-2.43327217  2.25018166 -2.03869191 -0.1150213   0.54169573 -2.7495242
  3.0215972   2.26314186  1.2021876  -1.04998519]
Sun Aug 25 01:47:21 2024,79,0.36047503177603174,[-2.42432699  2.24123649 -2.02974673 -0.10607613  0.55064091 -2.75846937
  3.01265202  2.25419669  1.19324242 -1.04104001]
Sun Aug 25 01:49:07 2024,80,0.35814838673989113,[-2.41647136  2.24909212 -2.03760236 -0.11393176  0.55849654 -2.75061374
  3.00479639  2.26205232  1.18538679 -1.03318438]
Sun Aug 25 01:50:53 2024,81,0.3604005712852219,[-2.40848374  2.25707974 -2.02961474 -0.12191938  0.55050892 -2.75860136
  3.01278401  2.2540647   1.19337441 -1.041172  ]
Sun Aug 25 01:52:40 2024,82,0.3554588847357381,[-2.39968585  2.26587763 -2.03841263 -0.13071727  0.54171103 -2.74980347
  3.00398612  2.26286259  1.18457652 -1.03237411]
Sun Aug 25 01:54:26 2024,83,0.3494226462033045,[-2.39131599  2.27424749 -2.04678249 -0.12234741  0.53334116 -2.75817333
  2.99561626  2.27123245  1.19294638 -1.04074397]
