Time,Iteration,Cost,Parameters
Fri Aug 16 00:54:18 2024,28,0.37473606485693434,[-2.71705644  2.25258308 -2.04327268 -0.06112374  0.58841404 -2.73930146
  3.07955091  2.24469689  1.16311437 -1.05734038]
Fri Aug 16 00:56:16 2024,29,0.368252229090426,[-2.70982736  2.245354   -2.05050176 -0.05389466  0.58118496 -2.73207238
  3.07232183  2.25192597  1.17034345 -1.0501113 ]
Fri Aug 16 00:58:12 2024,30,0.3683071997275546,[-2.702351    2.25283036 -2.0430254  -0.06137102  0.5737086  -2.73954874
  3.07979819  2.25940233  1.16286709 -1.04263494]
Fri Aug 16 01:00:11 2024,31,0.3654557443646828,[-2.69414969  2.24462904 -2.05122672 -0.0531697   0.58190992 -2.74775006
  3.07159687  2.25120101  1.17106841 -1.03443363]
Fri Aug 16 01:02:13 2024,32,0.36331516078224396,[-2.68661457  2.25216416 -2.0436916  -0.06070482  0.5743748  -2.74021494
  3.07913199  2.24366589  1.17860353 -1.04196874]
Fri Aug 16 01:04:12 2024,33,0.36315369344352777,[-2.67944866  2.25933006 -2.0508575  -0.06787072  0.56720889 -2.74738084
  3.07196609  2.2508318   1.18576943 -1.03480284]
Fri Aug 16 01:06:09 2024,34,0.3596112742885881,[-2.6726994   2.2525808  -2.05760676 -0.06112146  0.57395816 -2.7541301
  3.06521683  2.24408253  1.19251869 -1.0415521 ]
Fri Aug 16 01:08:06 2024,35,0.3610898491997554,[-2.66460759  2.24448898 -2.04951494 -0.05302964  0.56586634 -2.76222192
  3.07330865  2.23599072  1.20061051 -1.03346029]
Fri Aug 16 01:10:04 2024,36,0.35484784459906726,[-2.65664298  2.25245359 -2.04155033 -0.04506503  0.55790173 -2.75425731
  3.08127326  2.22802611  1.1926459  -1.02549568]
Fri Aug 16 01:12:00 2024,37,0.35267159950036636,[-2.64898744  2.26010912 -2.0338948  -0.0374095   0.5502462  -2.76191284
  3.08892879  2.22037058  1.20030143 -1.03315121]
Fri Aug 16 01:13:57 2024,38,0.3485336978026417,[-2.64045273  2.26864384 -2.04242952 -0.02887479  0.54171148 -2.75337813
  3.08039407  2.22890529  1.19176672 -1.04168592]
Fri Aug 16 01:15:53 2024,39,0.35070223024790664,[-2.63283057  2.276266   -2.05005168 -0.02125263  0.54933364 -2.74575597
  3.07277191  2.23652745  1.18414456 -1.04930808]
Fri Aug 16 01:17:49 2024,40,0.35087501446488684,[-2.62451947  2.2845771  -2.04174057 -0.02956373  0.55764475 -2.75406707
  3.06446081  2.22821635  1.17583345 -1.04099698]
Fri Aug 16 01:19:45 2024,41,0.34920784285018885,[-2.61575469  2.27581232 -2.05050535 -0.03832851  0.56640952 -2.76283185
  3.07322559  2.23698112  1.18459823 -1.0322322 ]
Fri Aug 16 01:21:40 2024,42,0.3498710226235879,[-2.60833667  2.28323035 -2.05792337 -0.03091049  0.57382755 -2.77024987
  3.06580756  2.24439914  1.19201625 -1.02481418]
Fri Aug 16 01:23:36 2024,43,0.35164103232439636,[-2.60034338  2.27523706 -2.04993008 -0.0229172   0.56583426 -2.77824316
  3.07380085  2.25239243  1.18402297 -1.01682089]
Fri Aug 16 01:25:33 2024,44,0.34141221530779814,[-2.59189584  2.26678952 -2.05837762 -0.01446966  0.5742818  -2.7866907
  3.06535331  2.24394489  1.1924705  -1.02526843]
Fri Aug 16 01:27:28 2024,45,0.34581841752288783,[-2.5836374   2.27504795 -2.06663606 -0.00621122  0.58254024 -2.79494913
  3.07361175  2.25220333  1.20072894 -1.03352687]
Fri Aug 16 01:29:23 2024,46,0.3424915238880829,[-2.57567865  2.2670892  -2.07459481 -0.01416998  0.59049899 -2.78699038
  3.0815705   2.26016208  1.19277019 -1.02556812]
Fri Aug 16 01:31:19 2024,47,0.33912101801842165,[-2.56744522  2.25885577 -2.06636137 -0.02240341  0.58226555 -2.79522382
  3.08980394  2.26839552  1.18453675 -1.03380155]
Fri Aug 16 01:33:16 2024,48,0.3416000968281737,[-2.55978641  2.25119696 -2.07402018 -0.0147446   0.58992436 -2.80288263
  3.09746274  2.27605433  1.17687794 -1.04146036]
Fri Aug 16 01:35:11 2024,49,0.3343398691263146,[-2.55083048  2.26015288 -2.08297611 -0.00578868  0.58096844 -2.81183855
  3.08850682  2.28501025  1.18583387 -1.03250444]
Fri Aug 16 01:37:07 2024,50,0.33620283218176644,[-2.54124461  2.250567   -2.09256198 -0.01537456  0.57138256 -2.82142443
  3.0980927   2.29459613  1.17624799 -1.02291856]
Fri Aug 16 01:39:03 2024,51,0.3330857100471631,[-2.53272452  2.24204692 -2.0840419  -0.02389464  0.57990264 -2.81290435
  3.08957261  2.30311621  1.16772791 -1.01439848]
Fri Aug 16 01:40:58 2024,52,0.331115957464346,[-2.52498589  2.23430829 -2.09178053 -0.01615601  0.57216401 -2.80516572
  3.09731124  2.29537758  1.17546654 -1.00665985]
Fri Aug 16 01:42:55 2024,53,0.3261386954229053,[-2.51696588  2.2423283  -2.08376052 -0.008136    0.58018402 -2.79714571
  3.10533126  2.28735757  1.18348655 -0.99863984]
Fri Aug 16 01:44:52 2024,54,0.33171326820047425,[-2.50879675  2.25049744 -2.07559138 -0.01630514  0.57201489 -2.78897657
  3.09716212  2.27918843  1.19165568 -1.00680898]
Fri Aug 16 01:46:48 2024,55,0.3290864535553645,[-2.49987691  2.2415776  -2.06667154 -0.0073853   0.58093472 -2.79789641
  3.08824228  2.28810827  1.18273585 -1.01572881]
Fri Aug 16 01:48:44 2024,56,0.3229043382478105,[-2.49121998e+00  2.23292068e+00 -2.07532846e+00  1.27162418e-03
  5.72277802e-01 -2.78923949e+00  3.07958536e+00  2.29676519e+00
  1.19139277e+00 -1.00707189e+00]
Fri Aug 16 01:50:40 2024,57,0.32528415181403963,[-2.48280736  2.22450805 -2.06691584  0.00968425  0.58069043 -2.79765211
  3.07117273  2.28835257  1.18298014 -1.01548452]
Fri Aug 16 01:52:35 2024,58,0.31877382445167035,[-2.47378369e+00  2.21548438e+00 -2.05789217e+00  6.60581856e-04
  5.71666760e-01 -2.80667578e+00  3.06214906e+00  2.29737623e+00
  1.19200381e+00 -1.00646085e+00]
Fri Aug 16 01:54:31 2024,59,0.31686087353621384,[-2.46429695  2.20599765 -2.06737891  0.01014732  0.56218002 -2.81616251
  3.0716358   2.2878895   1.18251707 -0.99697411]
Fri Aug 16 01:56:26 2024,60,0.31580781946222086,[-2.45538494  2.21490966 -2.07629092  0.01905933  0.57109204 -2.82507453
  3.08054782  2.27897748  1.19142909 -1.00588613]
Fri Aug 16 01:58:22 2024,61,0.31278271546540193,[-2.4470365   2.20656122 -2.08463937  0.02740778  0.5627436  -2.83342297
  3.08889626  2.28732593  1.18308065 -1.01423457]
Fri Aug 16 02:00:18 2024,62,0.3083363162116925,[-2.43851882  2.19804355 -2.09315704  0.0188901   0.57126127 -2.84194065
  3.09741393  2.27880825  1.17456297 -1.02275225]
Fri Aug 16 02:02:13 2024,63,0.3106412761868465,[-2.4295231   2.20703927 -2.08416132  0.00989438  0.58025699 -2.85093637
  3.10640965  2.28780398  1.1835587  -1.03174797]
Fri Aug 16 02:04:10 2024,64,0.30883509717552876,[-2.42158431  2.19910048 -2.07622253  0.01783317  0.58819578 -2.84299758
  3.09847087  2.29574276  1.19149748 -1.02380918]
Fri Aug 16 02:06:06 2024,65,0.3047471370899849,[-2.41323925  2.20744555 -2.06787746  0.02617823  0.59654084 -2.83465252
  3.0901258   2.2873977   1.19984255 -1.03215424]
Fri Aug 16 02:08:03 2024,66,0.30367551569817514,[-2.40518978  2.19939608 -2.07592693  0.01812876  0.58849137 -2.84270199
  3.09817527  2.27934823  1.20789202 -1.04020371]
Fri Aug 16 02:09:59 2024,67,0.30448610769379325,[-2.39665491  2.1908612  -2.06739206  0.00959389  0.5799565  -2.83416711
  3.0896404   2.27081336  1.21642689 -1.04873859]
Fri Aug 16 02:11:55 2024,68,0.29946879060041887,[-2.38853124  2.18273754 -2.07551572  0.01771755  0.58808016 -2.84229078
  3.09776406  2.27893702  1.22455055 -1.05686225]
Fri Aug 16 02:13:51 2024,69,0.2965638148851921,[-2.3806402   2.19062859 -2.08340677  0.0256086   0.58018912 -2.85018182
  3.10565511  2.27104597  1.2324416  -1.0489712 ]
Fri Aug 16 02:15:48 2024,70,0.2971818296606644,[-2.37281942  2.18280781 -2.075586    0.03342937  0.58800989 -2.85800259
  3.09783433  2.27886675  1.24026237 -1.05679198]
Fri Aug 16 02:17:46 2024,71,0.2952906975168578,[-2.36498309  2.17497148 -2.06774967  0.0412657   0.59584622 -2.85016627
  3.10567066  2.27103042  1.2480987  -1.06462831]
Fri Aug 16 02:19:43 2024,72,0.2958762269653551,[-2.35702552  2.16701391 -2.07570724  0.04922328  0.6038038  -2.84220869
  3.11362824  2.27898799  1.24014112 -1.05667073]
Fri Aug 16 02:21:42 2024,73,0.2907854878587333,[-2.34866695  2.17537247 -2.06734868  0.05758184  0.59544523 -2.85056725
  3.10526968  2.27062943  1.23178256 -1.04831216]
Fri Aug 16 02:23:39 2024,74,0.2864393082374276,[-2.34035503  2.16706054 -2.07566061  0.06589377  0.60375716 -2.84225533
  3.1135816   2.27894136  1.24009449 -1.05662409]
Fri Aug 16 02:25:36 2024,75,0.28355898097234034,[-2.33141057  2.15811609 -2.08460506  0.07483822  0.61270161 -2.83331087
  3.12252606  2.28788581  1.24903894 -1.04767964]
