JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0gafqy8jzxg008mej50,d0gafb5fbx30008w1750,Completed,,2025-05-11T13:36:31.898Z,2025-05-11T14:16:04.045Z,76,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0gafmefbx30008w1770,d0gafb5fbx30008w1750,Completed,,2025-05-11T13:36:18.227Z,2025-05-11T14:14:56.424Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0gafjy8jzxg008mej30,d0gafb5fbx30008w1750,Completed,,2025-05-11T13:36:11.933Z,2025-05-11T14:13:55.685Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0gaffn8jzxg008mej1g,d0gafb5fbx30008w1750,Completed,,2025-05-11T13:35:58.569Z,2025-05-11T14:12:55.102Z,71,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
