JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0e527g6rr3g00885vb0,d0e51wqnhqag008qe8t0,Completed,,2025-05-08T06:37:19.030Z,2025-05-08T07:09:37.725Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0e524gd8drg008zkjc0,d0e51wqnhqag008qe8t0,Completed,,2025-05-08T06:37:06.217Z,2025-05-08T07:08:36.854Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0e5210nhqag008qe8xg,d0e51wqnhqag008qe8t0,Completed,,2025-05-08T06:36:52.546Z,2025-05-08T07:07:36.812Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0e51y76rr3g00885v7g,d0e51wqnhqag008qe8t0,Completed,,2025-05-08T06:36:40.736Z,2025-05-08T07:06:35.856Z,71,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
