JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0cty48rxz8g008atfqg,d0ctxv7d8drg008zaj0g,Completed,,2025-05-06T06:41:21.461Z,2025-05-06T06:46:13.074Z,71,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0cty20rxz8g008atfng,d0ctxv7d8drg008zaj0g,Completed,,2025-05-06T06:41:13.275Z,2025-05-06T06:45:10.497Z,71,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0ctxzqrxz8g008atfmg,d0ctxv7d8drg008zaj0g,Completed,,2025-05-06T06:41:02.361Z,2025-05-06T06:44:09.103Z,71,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0ctxyqrxz8g008atfkg,d0ctxv7d8drg008zaj0g,Completed,,2025-05-06T06:40:58.998Z,2025-05-06T06:43:08.364Z,71,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
