JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0f1r30crrag008bhd30,d0f1qv78jzxg008m72pg,Completed,,2025-05-09T15:15:24.799Z,2025-05-09T15:25:40.216Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0f1r28vpqf000842370,d0f1qv78jzxg008m72pg,Completed,,2025-05-09T15:15:21.569Z,2025-05-09T15:24:41.047Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0f1r08fbx30008vsxn0,d0f1qv78jzxg008m72pg,Completed,,2025-05-09T15:15:13.576Z,2025-05-09T15:23:40.010Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0f1qyq36cs0008r1qng,d0f1qv78jzxg008m72pg,Completed,,2025-05-09T15:15:06.285Z,2025-05-09T15:22:39.995Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
