JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0f6gb1ehmr0008g1et0,d0f6fvqvpqf000843m20,Completed,,2025-05-09T20:40:12.835Z,2025-05-09T21:39:41.011Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0f6ga9ehmr0008g1esg,d0f6fvqvpqf000843m20,Completed,,2025-05-09T20:40:09.471Z,2025-05-09T21:38:40.083Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0f6g99ehmr0008g1er0,d0f6fvqvpqf000843m20,Completed,,2025-05-09T20:40:05.613Z,2025-05-09T21:37:39.956Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0f6g008jzxg008m8mkg,d0f6fvqvpqf000843m20,Completed,,2025-05-09T20:39:29.282Z,2025-05-09T21:36:39.491Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
