JobId,SessionId,Status,Reason,Created,Completed,Usage (seconds),Type,Compute resource,Instance,Tags
d0eevmyvpqf00083yz40,d0eevad8jzxg008m3w50,Completed,,2025-05-08T17:45:55.488Z,2025-05-08T18:43:51.345Z,72,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0eevky8jzxg008m3w8g,d0eevad8jzxg008m3w50,Completed,,2025-05-08T17:45:51.947Z,2025-05-08T18:42:47.705Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0eevh68jzxg008m3w7g,d0eevad8jzxg008m3w50,Completed,,2025-05-08T17:45:40.776Z,2025-05-08T18:41:47.091Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
d0eeve5vpqf00083yz2g,d0eevad8jzxg008m3w50,Completed,,2025-05-08T17:45:28.560Z,2025-05-08T18:40:49.199Z,70,estimator,ibm_quebec,pinq-quebec-hub/univ-toronto/default,
