Time,Iteration,Cost,Parameters
Sat Aug 24 23:32:09 2024,49,0.24491430037178472,[-2.76545372  2.19513543 -2.11072266 -0.13108944  0.55690871]
Sat Aug 24 23:33:21 2024,50,0.24419672899742678,[-2.7622873   2.19196901 -2.11388908 -0.12792302  0.56007513]
Sat Aug 24 23:34:34 2024,51,0.240076372348826,[-2.75940592  2.18908764 -2.11677045 -0.13080439  0.5629565 ]
Sat Aug 24 23:35:47 2024,52,0.2379710170609477,[-2.75611082  2.19238274 -2.12006555 -0.1340995   0.5596614 ]
Sat Aug 24 23:36:59 2024,53,0.24307147890356126,[-2.75290614  2.19558742 -2.11686088 -0.13730417  0.56286608]
Sat Aug 24 23:38:12 2024,54,0.239080134452318,[-2.74962098  2.19887258 -2.12014604 -0.13401901  0.56615124]
Sat Aug 24 23:39:26 2024,55,0.24013762839555092,[-2.74663591  2.19588752 -2.11716098 -0.13103394  0.56316618]
Sat Aug 24 23:40:38 2024,56,0.23436022627973604,[-2.74419151  2.19833192 -2.11960538 -0.13347835  0.56561058]
Sat Aug 24 23:41:51 2024,57,0.23975322191692564,[-2.74124489  2.20127854 -2.11665877 -0.13642496  0.56266397]
Sat Aug 24 23:43:03 2024,58,0.23880394704996596,[-2.73943056  2.19946421 -2.11484443 -0.1382393   0.56084963]
Sat Aug 24 23:44:16 2024,59,0.24159538080196863,[-2.73631277  2.20258199 -2.11172665 -0.14135708  0.56396742]
Sat Aug 24 23:45:28 2024,60,0.24686352034303005,[-2.73325523  2.19952445 -2.11478419 -0.13829954  0.56702496]
Sat Aug 24 23:46:40 2024,61,0.2379924526967069,[-2.73049969  2.20227999 -2.11753973 -0.14105508  0.5697805 ]
Sat Aug 24 23:47:53 2024,62,0.24197035702217926,[-2.72797337  2.20480631 -2.11501341 -0.1435814   0.57230682]
Sat Aug 24 23:49:05 2024,63,0.23817518311962668,[-2.72465525  2.20812443 -2.11833153 -0.14689952  0.5689887 ]
Sat Aug 24 23:50:17 2024,64,0.23552359719965082,[-2.72120209  2.20467126 -2.1217847  -0.14344635  0.57244186]
Sat Aug 24 23:51:30 2024,65,0.23353956243348928,[-2.71761898  2.20825438 -2.11820159 -0.13986324  0.56885875]
Sat Aug 24 23:52:42 2024,66,0.23176336113792093,[-2.7139537   2.2045891  -2.12186686 -0.13619796  0.57252403]
Sat Aug 24 23:53:54 2024,67,0.23485016138238418,[-2.71167253  2.20230793 -2.12414803 -0.13847914  0.5748052 ]
Sat Aug 24 23:55:07 2024,68,0.23471506069607645,[-2.7104177   2.2010531  -2.1228932  -0.13973397  0.57606003]
Sat Aug 24 23:56:20 2024,69,0.23266776589326227,[-2.70750283  2.20396797 -2.11997833 -0.14264884  0.5789749 ]
Sat Aug 24 23:57:32 2024,70,0.23263350423262474,[-2.70509752  2.20637328 -2.12238364 -0.14024353  0.57656959]
Sat Aug 24 23:58:45 2024,71,0.2353212793733481,[-2.70156401  2.20990678 -2.12591715 -0.13671002  0.58010309]
Sat Aug 24 23:59:57 2024,72,0.23818839273883358,[-2.69861049  2.20695326 -2.12887067 -0.13966355  0.57714957]
Sun Aug 25 00:01:11 2024,73,0.23612200149257506,[-2.69598043  2.20958332 -2.13150073 -0.14229361  0.57977963]
Sun Aug 25 00:02:24 2024,74,0.23598728385165996,[-2.69318326  2.20678615 -2.12870356 -0.13949644  0.5825768 ]
Sun Aug 25 00:03:36 2024,75,0.23508024045069448,[-2.6901847   2.20978472 -2.12570499 -0.142495    0.57957824]
Sun Aug 25 00:04:48 2024,76,0.23796693154026013,[-2.68619862  2.20579863 -2.12969107 -0.13850892  0.58356432]
Sun Aug 25 00:06:01 2024,77,0.23538466211915335,[-2.68312632  2.20887093 -2.13276337 -0.14158121  0.58663662]
Sun Aug 25 00:07:13 2024,78,0.23105662330318444,[-2.68024113  2.20598574 -2.13564856 -0.13869603  0.58375143]
Sun Aug 25 00:08:26 2024,79,0.2355703763250509,[-2.67770588  2.208521   -2.13818381 -0.13616078  0.58121618]
Sun Aug 25 00:09:39 2024,80,0.2349593357751992,[-2.67502376  2.20583888 -2.1355017  -0.13347866  0.57853407]
Sun Aug 25 00:10:52 2024,81,0.23236199006462022,[-2.67109706  2.20191217 -2.1394284  -0.12955195  0.58246077]
Sun Aug 25 00:12:04 2024,82,0.2332123786225046,[-2.66732     2.20568923 -2.13565135 -0.133329    0.58623782]
Sun Aug 25 00:13:17 2024,83,0.2340770010355149,[-2.66388875  2.20912048 -2.1390826  -0.13676026  0.58966908]
Sun Aug 25 00:14:30 2024,84,0.2313020620167496,[-2.66207272  2.21093651 -2.14089864 -0.13857629  0.58785304]
Sun Aug 25 00:15:42 2024,85,0.23788731091807033,[-2.65959764  2.21341159 -2.14337372 -0.13610121  0.58537796]
Sun Aug 25 00:16:54 2024,86,0.23121131793738978,[-2.6564605   2.21654873 -2.14651086 -0.13296407  0.58224082]
Sun Aug 25 00:18:08 2024,87,0.2353441898845539,[-2.6524843   2.21257253 -2.15048706 -0.12898787  0.57826462]
Sun Aug 25 00:19:21 2024,88,0.2345281431881316,[-2.64899418  2.20908242 -2.15397718 -0.13247798  0.5747745 ]
Sun Aug 25 00:20:35 2024,89,0.23105847366191265,[-2.64610703  2.20619527 -2.15686432 -0.12959083  0.57766165]
Sun Aug 25 00:21:47 2024,90,0.22927189171120818,[-2.64324288  2.20333112 -2.15972847 -0.12672668  0.5805258 ]
Sun Aug 25 00:23:00 2024,91,0.23147274841201945,[-2.64017263  2.20026087 -2.16279873 -0.12365643  0.57745555]
Sun Aug 25 00:24:12 2024,92,0.23189047993921755,[-2.63710766  2.1971959  -2.16586369 -0.1267214   0.58052052]
Sun Aug 25 00:25:25 2024,93,0.23251578961692332,[-2.63404865  2.19413689 -2.16280468 -0.12366238  0.5774615 ]
Sun Aug 25 00:26:38 2024,94,0.23430624489950347,[-2.6304496   2.19773594 -2.15920562 -0.12726143  0.57386245]
Sun Aug 25 00:27:52 2024,95,0.23448671393085702,[-2.62685963  2.2013259  -2.16279559 -0.12367147  0.57745242]
Sun Aug 25 00:29:05 2024,96,0.22784815277892403,[-2.62441092  2.20377462 -2.1652443  -0.12122275  0.57990113]
Sun Aug 25 00:30:17 2024,97,0.22682691579438918,[-2.62105519  2.20713035 -2.16860003 -0.11786703  0.58325686]
Sun Aug 25 00:31:30 2024,98,0.2304947494394753,[-2.61704154  2.20311669 -2.17261368 -0.11385337  0.58727051]
Sun Aug 25 00:32:42 2024,99,0.22930355011199105,[-2.61446028  2.20569795 -2.17519494 -0.11643463  0.58468926]
Sun Aug 25 00:33:55 2024,100,0.23068348199666283,[-2.6114875   2.20272516 -2.17222215 -0.11346184  0.58766204]
Sun Aug 25 00:35:08 2024,101,0.23112800868385103,[-2.60853639  2.19977405 -2.17517327 -0.11051073  0.58471093]
Sun Aug 25 00:36:20 2024,102,0.22937686940145202,[-2.60552935  2.19676701 -2.17818031 -0.10750369  0.58170389]
Sun Aug 25 00:37:33 2024,103,0.22589334319708435,[-2.60141665  2.20087971 -2.17406761 -0.11161639  0.57759119]
Sun Aug 25 00:38:45 2024,104,0.22952963898492745,[-2.59742871  2.20486765 -2.17007967 -0.10762845  0.57360325]
Sun Aug 25 00:39:57 2024,105,0.22630407271892172,[-2.59364026  2.2086561  -2.16629122 -0.1114169   0.5773917 ]
Sun Aug 25 00:41:10 2024,106,0.22329456366252426,[-2.59079279  2.21150356 -2.16344375 -0.10856944  0.58023917]
Sun Aug 25 00:42:22 2024,107,0.22929355318719133,[-2.58728162  2.2079924  -2.15993259 -0.11208061  0.576728  ]
Sun Aug 25 00:43:35 2024,108,0.23176774735472583,[-2.58389924  2.21137478 -2.16331497 -0.11546299  0.58011038]
Sun Aug 25 00:44:47 2024,109,0.22839796502473314,[-2.58107052  2.20854605 -2.16048624 -0.11829171  0.57728166]
Sun Aug 25 00:45:59 2024,110,0.2258610233829151,[-2.5783209   2.21129568 -2.16323586 -0.11554209  0.58003128]
Sun Aug 25 00:47:12 2024,111,0.2225969777252819,[-2.57391062  2.21570595 -2.16764614 -0.11113181  0.58444156]
Sun Aug 25 00:48:24 2024,112,0.2202578498705798,[-2.57110281  2.21289814 -2.17045396 -0.108324    0.58724937]
Sun Aug 25 00:49:37 2024,113,0.22891160847874512,[-2.56700936  2.20880469 -2.1745474  -0.11241744  0.59134281]
Sun Aug 25 00:50:49 2024,114,0.22102805709504755,[-2.56314975  2.21266431 -2.17068778 -0.10855782  0.5874832 ]
Sun Aug 25 00:52:01 2024,115,0.223131369066775,[-2.56042741  2.21538664 -2.17341012 -0.11128016  0.59020553]
Sun Aug 25 00:53:13 2024,116,0.22131300160380576,[-2.55686902  2.21894503 -2.17696851 -0.10772177  0.59376392]
Sun Aug 25 00:54:25 2024,117,0.22023384835196622,[-2.55407401  2.21615003 -2.17976351 -0.11051678  0.59655893]
Sun Aug 25 00:55:37 2024,118,0.22139607960094615,[-2.55054961  2.21262562 -2.18328792 -0.10699237  0.59303452]
Sun Aug 25 00:56:50 2024,119,0.21983324457842682,[-2.54687821  2.21629702 -2.18695932 -0.10332097  0.59670592]
Sun Aug 25 00:58:02 2024,120,0.22450464813895077,[-2.54462427  2.21855096 -2.18921326 -0.10557491  0.59445198]
Sun Aug 25 00:59:15 2024,121,0.21968842681558903,[-2.5426296   2.21655628 -2.18721858 -0.10756959  0.59245731]
Sun Aug 25 01:00:27 2024,122,0.21603075297224097,[-2.53928621  2.21989967 -2.1838752  -0.1042262   0.58911392]
Sun Aug 25 01:01:40 2024,123,0.2182173117336111,[-2.53671537  2.22247051 -2.18644604 -0.10165536  0.59168477]
Sun Aug 25 01:02:52 2024,124,0.21859550132616873,[-2.53367647  2.22550941 -2.18340715 -0.09861646  0.58864587]
Sun Aug 25 01:04:04 2024,125,0.21987904737624844,[-2.53083328  2.2283526  -2.18625034 -0.09577327  0.59148907]
Sun Aug 25 01:05:17 2024,126,0.21629803851816726,[-2.52752355  2.23166233 -2.18956007 -0.099083    0.59479879]
Sun Aug 25 01:06:30 2024,127,0.22005417608171987,[-2.52459052  2.23459536 -2.18662704 -0.09614996  0.59773182]
Sun Aug 25 01:07:43 2024,128,0.21697119382035396,[-2.52066097  2.23852491 -2.19055658 -0.09222042  0.59380228]
Sun Aug 25 01:08:56 2024,129,0.21814002778417832,[-2.5176808   2.23554474 -2.19353675 -0.09520059  0.59678245]
Sun Aug 25 01:10:09 2024,130,0.21957462891594784,[-2.5146684   2.23855715 -2.19654916 -0.09218818  0.59979485]
Sun Aug 25 01:11:22 2024,131,0.22069021067069325,[-2.51113833  2.23502707 -2.20007923 -0.08865811  0.60332492]
Sun Aug 25 01:12:37 2024,132,0.21610784561117205,[-2.50774968  2.23841573 -2.19669058 -0.09204676  0.59993627]
Sun Aug 25 01:13:52 2024,133,0.21639363431257466,[-2.50531875  2.24084665 -2.19425965 -0.09447769  0.59750535]
Sun Aug 25 01:15:08 2024,134,0.21566116177730071,[-2.50209007  2.23761797 -2.19103097 -0.09124901  0.60073403]
Sun Aug 25 01:16:20 2024,135,0.21496118893109786,[-2.49975034  2.23527823 -2.19337071 -0.09358874  0.59839429]
Sun Aug 25 01:17:33 2024,136,0.2210617495244179,[-2.49596873  2.23905984 -2.1895891  -0.08980713  0.6021759 ]
Sun Aug 25 01:18:45 2024,137,0.2152063785682501,[-2.49346667  2.23655779 -2.18708704 -0.08730507  0.59967385]
Sun Aug 25 01:19:58 2024,138,0.21693602967166006,[-2.49068922  2.23378034 -2.18430959 -0.08452762  0.6024513 ]
Sun Aug 25 01:21:10 2024,139,0.21502935256493028,[-2.48853139  2.23593817 -2.18646742 -0.08668545  0.60029346]
Sun Aug 25 01:22:23 2024,140,0.21417301851077392,[-2.48574898  2.23872057 -2.18368502 -0.08390305  0.59751106]
Sun Aug 25 01:23:35 2024,141,0.20985439833233047,[-2.4827828   2.23575439 -2.1866512  -0.08686923  0.60047724]
Sun Aug 25 01:24:50 2024,142,0.2170314430057366,[-2.47994862  2.23292021 -2.18381702 -0.08403506  0.60331142]
Sun Aug 25 01:26:05 2024,143,0.21854816697938056,[-2.47688606  2.22985765 -2.18687958 -0.08709761  0.60637398]
Sun Aug 25 01:27:18 2024,144,0.2179143957090733,[-2.47415058  2.23259313 -2.1841441  -0.08983309  0.60910946]
Sun Aug 25 01:28:31 2024,145,0.21543888819621618,[-2.47152691  2.2352168  -2.18676777 -0.09245676  0.60648579]
Sun Aug 25 01:29:43 2024,146,0.21752129364320236,[-2.46873266  2.23242255 -2.18397351 -0.08966251  0.60928005]
Sun Aug 25 01:30:55 2024,147,0.21251024362721538,[-2.46671574  2.23040563 -2.18599043 -0.08764559  0.60726313]
Sun Aug 25 01:32:07 2024,148,0.2100587823008382,[-2.46379419  2.22748408 -2.18891198 -0.08472404  0.61018467]
Sun Aug 25 01:33:21 2024,149,0.21064546917821975,[-2.46073648  2.22442637 -2.19196969 -0.08166633  0.60712696]
Sun Aug 25 01:34:36 2024,150,0.2188033355338056,[-2.45766653  2.22135642 -2.18889974 -0.08473628  0.60405701]
Sun Aug 25 01:35:50 2024,151,0.21756342058451128,[-2.45479709  2.22422586 -2.1860303  -0.08186684  0.60692645]
Sun Aug 25 01:37:02 2024,152,0.213367925536379,[-2.45101541  2.22800754 -2.18224862 -0.07808516  0.61070813]
